field,operator,level,samples,triangles,worst
ball_drilled_g2,tent,3,9,328,0.26403517
ball_drilled_g3,tent,0,65,30952,0.01324889
ball_drilled_g3,tent,1,33,7944,0.04192783
ball_drilled_g3,tent,2,17,1888,0.07355339
ball_drilled_g3,tent,3,9,336,0.26785441
graph_k4_g3,tent,0,65,12944,0.00120965
graph_k4_g3,tent,1,33,3104,0.02335836
graph_k4_g3,tent,2,17,656,0.04696183
graph_k4_g3,tent,3,9,32,0.24617746
graph_cube_g5,tent,0,65,17152,0.00144326
graph_cube_g5,tent,1,33,4864,0.01544767
graph_cube_g5,tent,2,17,1408,0.02931213
graph_cube_g5,tent,3,9,0,0.00000000
sphere,min,0,65,9512,0.00045788
sphere,min,1,33,2888,0.10712065
sphere,min,2,17,920,0.32223460
sphere,min,3,9,296,0.75333639
torus,min,0,65,8416,0.00145659
torus,min,1,33,2480,0.10809322
torus,min,2,17,736,0.31254040
torus,min,3,9,368,0.72083804
box_exact,min,0,65,11528,0.00000000
box_exact,min,1,33,3464,0.06250000
box_exact,min,2,17,968,0.18750000
box_exact,min,3,9,296,0.43750000
csg_difference,min,0,65,12020,0.00062969
csg_difference,min,1,33,3608,0.10957040
csg_difference,min,2,17,968,0.31562399
csg_difference,min,3,9,296,0.43750000
thin_plate,min,0,65,4088,0.00000000
thin_plate,min,1,33,1288,0.02083333
thin_plate,min,2,17,392,0.04166667
thin_plate,min,3,9,136,0.08750000
gyroid,min,0,65,43116,0.11371631
gyroid,min,1,33,12060,0.63702462
gyroid,min,2,17,2880,1.49174133
gyroid,min,3,9,494,2.58745316
fbm_terrain,min,0,65,16884,0.07275794
fbm_terrain,min,1,33,3672,1.20755018
fbm_terrain,min,2,17,742,2.49732170
fbm_terrain,min,3,9,136,4.02406370
noise_cavity,min,0,65,58112,0.10940806
noise_cavity,min,1,33,6132,0.61663666
noise_cavity,min,2,17,1736,0.44877345
noise_cavity,min,3,9,536,0.72940409
ball_drilled_g1,min,0,65,26448,0.01265901
ball_drilled_g1,min,1,33,6960,0.10783076
ball_drilled_g1,min,2,17,1984,0.32179790
ball_drilled_g1,min,3,9,584,0.73363919
graph_theta_g2,min,0,65,10408,0.01441777
graph_theta_g2,min,1,33,3096,0.11239327
graph_theta_g2,min,2,17,944,0.31975021
graph_theta_g2,min,3,9,392,0.73796675
ball_drilled_g2,min,0,65,28280,0.00854095
ball_drilled_g2,min,1,33,7304,0.10783076
ball_drilled_g2,min,2,17,2056,0.32179790
ball_drilled_g2,min,3,9,584,0.73363919
ball_drilled_g3,min,0,65,30952,0.01324889
ball_drilled_g3,min,1,33,7808,0.10783076
ball_drilled_g3,min,2,17,1968,0.32179790
ball_drilled_g3,min,3,9,584,0.73363919
graph_k4_g3,min,0,65,12944,0.00120965
graph_k4_g3,min,1,33,3968,0.10709712
graph_k4_g3,min,2,17,1072,0.31885387
graph_k4_g3,min,3,9,304,0.67268035
graph_cube_g5,min,0,65,17152,0.00144326
graph_cube_g5,min,1,33,4576,0.10154959
graph_cube_g5,min,2,17,1312,0.29095304
graph_cube_g5,min,3,9,400,0.50243466
