# experiment P-59 (R-057)
# hypothesis: M-341 measured that a Lipschitz interval bound prunes a 64-brush tape to a median of 19 survivors per chunk with the mesh byte-identical on 64 of 64 chunks. Nothing measures how many survivors are NECESSARY. Leave-one-out ablation decides it: for each chunk, for each surviving brush, remove that one brush, re-mesh, and compare mesh_hash. (C1) SOUNDNESS CONTROL, REPORTED FIRST -- removing ALL non-survivors together changes no chunk's mesh_hash, 64 of 64, re-confirming M-341's C3 on this harness; if it fails, the bound is unsound and every other number here is void. (C2) the bound OVER-KEEPS: the median over chunks of necessary / survivors is AT MOST 0.75, i.e. at least a quarter of surviving brushes can be dropped individually with the mesh bit-identical. (C3) the over-keep has a nameable cause rather than being noise: of the brushes that survive but prove unnecessary, at least 90% have an interval over the chunk whose distance from zero exceeds one cell size -- they win the min/max chain only where the field is far from the surface.
# falsified by: C2's median exceeding 0.75, which says the interval bound is already close to tight and closes the direction with a distribution rather than a hunch -- a null worth having; or C3 under 90%, which means the over-keep is not explained by distance-from-surface and the mechanism is unnamed.
# commit f55416c (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-24T03:43:41Z
chunk,brushes,survivors,necessary,necessary_fraction,non_survivors_removed,control_hash_unchanged,unnecessary_far_from_surface,unnecessary_far_fraction,mesh_hash,remeshes,ns_per_remesh,c1_control_all_unchanged,c1_control_failures,c2_bound,c2_median_at_most_bound,c2_necessary_fraction_max,c2_necessary_fraction_median,c2_necessary_fraction_median_nonempty,c2_necessary_fraction_min,c3_bound,c3_far_at_least_bound,c3_far_fraction,c3_far_fraction_nonempty,cell_size,chunks_measured,dominant_adds,empty_chunks,far_survivors,fixture_matches_m341,joint_drop_chunks_unchanged,m341_median_survivors,mesh_hash_full_tape,mesh_hash_necessary_only,necessary_only_hash_unchanged,samples_per_axis,survivors_median,total_necessary,total_remeshes,total_survivors,total_unnecessary,total_unnecessary_far,triangles,unnecessary,unnecessary_far_by_hi,unnecessary_far_by_lo,vertices
1-2-1,64,42,0,0.000000000,22,true,30,0.714285714,5801004588393852645,43,8043016.2,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,30,true,64,19,5801004588393852645,5801004588393852645,true,33,19.0000,73,1571,1507,1434,1218,613,42,0,30,357
2-2-1,64,29,0,0.000000000,35,true,28,0.965517241,7573758123514850077,30,5624536.2,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,28,true,64,19,7573758123514850077,7573758123514850077,true,33,19.0000,73,1571,1507,1434,1218,613,29,0,28,357
3-2-1,64,3,0,0.000000000,61,true,3,1.000000000,13451515892614383955,4,4274189.2,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,3,true,64,19,13451515892614383955,13451515892614383955,true,33,19.0000,73,1571,1507,1434,1218,3227,3,0,3,1694
0-3-1,64,19,0,0.000000000,45,true,19,1.000000000,335535964048075331,20,3523750.9,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,19,true,64,19,335535964048075331,335535964048075331,true,33,19.0000,73,1571,1507,1434,1218,173,19,0,19,110
1-3-1,64,10,0,0.000000000,54,true,10,1.000000000,9535684982032697924,11,3624400.4,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,10,true,64,19,9535684982032697924,9535684982032697924,true,33,19.0000,73,1571,1507,1434,1218,3227,10,0,10,1694
2-3-1,64,4,0,0.000000000,60,true,4,1.000000000,10182843318973274308,5,3917478.0,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,4,true,64,19,10182843318973274308,10182843318973274308,true,33,19.0000,73,1571,1507,1434,1218,3227,4,0,4,1694
3-3-1,64,3,0,0.000000000,61,true,3,1.000000000,15318572337558846632,4,5057368.8,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,3,true,64,19,15318572337558846632,15318572337558846632,true,33,19.0000,73,1571,1507,1434,1218,173,3,0,3,110
0-0-2,64,37,1,0.027027027,27,true,30,0.833333333,9416812134061628101,38,7206399.3,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,30,true,64,19,9416812134061628101,9416812134061628101,true,33,19.0000,73,1571,1507,1434,1218,529,36,0,30,309
1-0-2,64,43,0,0.000000000,21,true,39,0.906976744,16999340435644792734,44,9569663.3,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,39,true,64,19,16999340435644792734,16999340435644792734,true,33,19.0000,73,1571,1507,1434,1218,3227,43,0,39,1694
2-0-2,64,21,0,0.000000000,43,true,21,1.000000000,13526481896853062833,22,5323267.3,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,21,true,64,19,13526481896853062833,13526481896853062833,true,33,19.0000,73,1571,1507,1434,1218,3227,21,0,21,1694
3-0-2,64,9,0,0.000000000,55,true,9,1.000000000,17586981532583937251,10,3502370.3,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,9,true,64,19,17586981532583937251,17586981532583937251,true,33,19.0000,73,1571,1507,1434,1218,173,9,0,9,110
0-1-2,64,50,1,0.020000000,14,true,39,0.795918367,12222156033756517002,51,11767112.2,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,39,true,64,19,12222156033756517002,12222156033756517002,true,33,19.0000,73,1571,1507,1434,1218,3253,49,0,39,1708
1-1-2,64,47,3,0.063829787,17,true,37,0.840909091,6592514100659409189,48,9334996.2,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,37,true,64,19,6592514100659409189,6592514100659409189,true,33,19.0000,73,1571,1507,1434,1218,1145,44,0,37,656
2-1-2,64,31,0,0.000000000,33,true,28,0.903225806,15894989831936553101,32,6066825.2,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,28,true,64,19,15894989831936553101,15894989831936553101,true,33,19.0000,73,1571,1507,1434,1218,613,31,0,28,357
3-1-2,64,2,0,0.000000000,62,true,2,1.000000000,8253297749915671661,3,5288329.0,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,2,true,64,19,8253297749915671661,8253297749915671661,true,33,19.0000,73,1571,1507,1434,1218,3227,2,0,2,1694
0-2-2,64,30,0,0.000000000,34,true,30,1.000000000,3436226464291267718,31,6944507.7,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,30,true,64,19,3436226464291267718,3436226464291267718,true,33,19.0000,73,1571,1507,1434,1218,3227,30,0,30,1694
1-2-2,64,32,0,0.000000000,32,true,29,0.906250000,17411040754352358556,33,6150442.5,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,29,true,64,19,17411040754352358556,17411040754352358556,true,33,19.0000,73,1571,1507,1434,1218,613,32,0,29,357
2-2-2,64,20,0,0.000000000,44,true,19,0.950000000,10952310868246074479,21,4263352.5,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,19,true,64,19,10952310868246074479,10952310868246074479,true,33,19.0000,73,1571,1507,1434,1218,613,20,0,19,357
3-2-2,64,2,0,0.000000000,62,true,2,1.000000000,8582332746763892125,3,5281602.3,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,2,true,64,19,8582332746763892125,8582332746763892125,true,33,19.0000,73,1571,1507,1434,1218,3227,2,0,2,1694
0-3-2,64,12,0,0.000000000,52,true,12,1.000000000,11629949023056436105,13,2642132.1,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,12,true,64,19,11629949023056436105,11629949023056436105,true,33,19.0000,73,1571,1507,1434,1218,173,12,0,12,110
