# experiment P-121 (R-121)
# hypothesis: BEFORE ANY OF GROUP A IS BUILT, DECOMPOSE EXTRACTION INTO FLOAT WORK AND INTEGER WORK. x51's rule requires it and x51 is itself the example of what happens without it: P-69's C1 asked for 2x on the marginal extraction cost from restructuring the SAMPLE loop, and the loop is 11.6% of that marginal -- not the 11.5% the research doc says -- so its ceiling was 1/(1 - 0.116/2) = 1.061x and the clause was unreachable however well the loop vectorised. STAGES, fixed at registration: sample (field evaluation), classify (the eight-sign case index), interpolate (crossing positions and normals), solve (dual only), emit (table lookup, triangle and quad push, edge-cache indexing), residual. Float = sample + interpolate + solve. Integer = classify + emit. INSTRUMENT: stage counters via common::counters::Probe (benches/common/counters.rs:86, Linux-gated at benches/common/mod.rs:26), reporting CYCLES AND INSTRUCTIONS; the verdict reads the counter form and not the clock, per x24 and M-281. experiment_p15 is the precedent for stage attribution in this crate and experiment_p12 is the precedent for refusing to run without counters. (C1) The stage decomposition ACCOUNTS FOR THE TOTAL: residual_share under 5% of measured cycles on EVERY row. (C2) Integer work -- classification plus the emit path's indexing -- is at least 15% of extraction on at least one reference field at 65 cubed. (C3) The split is real: on a SURFACE-FREE field the classification stage still runs and the emit stage does not, and the measured stage cycles move in exactly those directions. The surface-free control already exists and is reused rather than reinvented: sphere_surface_free, the same sphere sampled a long way from itself so every cell is inactive, at crates/isomesh/benches/experiment_p40.rs:84-93 and listed in its FIELDS. M-337 and x28 both scored on it, so it is the fixture with a published baseline. SHARE: this row IS the share instrument. It moves nothing and claims nothing; it produces the denominator that P-103, P-104 and P-106 are denominated in.
# falsified by: C1 by a residual_share above 5%, or any stage reading zero on a fixture where it must run -- either means the instrument cannot see what it claims to. A C2 total under 15% on every field CLOSES P-103, P-104 and P-106 ON THE SPOT, which is a cheap and valuable outcome and is NOT a failure of this row. C3 by emit cycles staying non-trivial on the surface-free arm or classify cycles falling to zero there. VACUITY CONTROL: every stage's cycle count non-zero on a field where it must run; residual_share reported PER ROW rather than pooled; and the surface-free arm's emit cycles at or near zero WITH classify non-zero, which is what proves the two are separable at all.
# commit 3cb450a on amd-ryzen-9-5900x-12-core at 2026-08-29T00:49:28Z
field,resolution,scalar,extractor,cycles_total,cycles_sample,cycles_classify,cycles_interpolate,cycles_solve,cycles_emit,cycles_residual,residual_share,float_share,integer_share,instructions_total,instructions_classify,instructions_emit,cells,active_cells,c1_holds,c2_holds,c3_holds,active_fraction,agreement_ratio,c3_classify_hold,c3_emit_walk_collapse,c3_emit_walk_collapse_instructions,cycles_emit_prepare,cycles_emit_walk,cycles_per_cell_mirror,cycles_per_cell_shipped,ghz,inner_reps,instructions_emit_prepare,instructions_emit_walk,instructions_interpolate,instructions_per_cell_total,instructions_sample,instructions_solve,ipc_total,max_reference_integer_share_at_65,mesh_identical_to_shipped,ns_per_cell,residual_share_rep_worst,residual_share_row_worst,residual_share_worst,residual_signed_share,triangles,vertices
box_exact,33,f32,dual_contouring,3816277.0,403562.3,476132.0,699673.1,2192687.2,44963.0,-740.7,0.000194,0.863649,0.136545,15211143.5,2492895.1,140441.0,32768,1352,true,true,true,0.041260,0.9910,0.9530,0.003228,0.000208,3224.8,41738.2,116.4635,117.5239,4.1833,33,10.8,140430.2,1781924.9,464.2073,1426269.9,9369612.5,3.9859,0.724533,true,27.8398,0.166282,0.005195,0.004965,-0.000194,2700,1352
csg_difference,33,f32,dual_contouring,4670566.6,638729.1,485273.9,806139.6,2690698.9,45095.9,4629.3,0.000991,0.885453,0.113556,16943540.2,2494364.1,144185.0,32768,1388,true,true,true,0.042358,1.0102,0.9530,0.003228,0.000208,2797.6,42298.3,142.5344,141.0903,4.1816,27,10.9,144174.1,2191334.2,517.0758,2040615.7,10073041.2,3.6277,0.724533,true,34.0861,0.166282,0.005195,0.009814,0.000991,2772,1388
thin_plate,33,f32,dual_contouring,2027314.9,403523.2,467950.8,248336.4,891544.4,15494.5,465.7,0.000230,0.761304,0.238466,8400032.2,2458819.1,53081.0,32768,512,true,true,true,0.015625,0.9982,0.9530,0.003228,0.000208,-640.7,16135.2,61.8687,61.9819,4.1783,62,11.0,53070.0,713915.0,256.3486,1426257.9,3747959.2,4.1434,0.724533,true,14.8071,0.166282,0.005195,0.004132,0.000230,1020,512
gyroid,33,f32,dual_contouring,32184807.0,2810977.5,753052.2,8154261.5,20307774.0,134520.5,24221.2,0.000753,0.971670,0.027577,76104561.9,2654627.0,550408.8,32768,5240,true,true,true,0.159912,0.9934,0.9530,0.003228,0.000208,-22850.0,157370.5,982.2024,988.6971,4.1837,4,10.5,550398.2,17804610.5,2322.5269,9763777.0,45331138.5,2.3646,0.724533,true,234.7702,0.166282,0.005195,0.009330,0.000753,10584,5240
fbm_terrain,33,f32,dual_contouring,47505057.7,29843310.3,453230.3,9340049.3,7765238.0,113273.3,-10043.7,0.000211,0.988286,0.011925,160929046.7,2517569.0,195455.7,32768,1958,true,true,true,0.059753,0.9877,0.9530,0.003228,0.000208,50740.0,62533.3,1449.7393,1467.7233,4.1824,3,11.0,195444.7,32319049.3,4911.1648,108795176.7,17101796.7,3.3876,0.724533,true,346.6309,0.166282,0.005195,0.010939,-0.000211,3758,1958
noise_cavity,33,f32,dual_contouring,49526005.5,7225118.0,788576.0,14494119.7,26819051.0,144845.0,54295.8,0.001096,0.980057,0.018847,131268061.5,2697657.3,678329.0,32768,6176,true,true,true,0.188477,0.9956,0.9530,0.003228,0.000208,-58114.0,202959.0,1511.4137,1518.0283,4.1834,3,11.7,678317.3,46432678.7,4005.9833,27499305.0,53960092.7,2.6505,0.724533,true,361.2853,0.166282,0.005195,0.016554,0.001096,13044,6176
sphere_surface_free,33,f32,dual_contouring,648944.5,185201.7,463628.8,102.4,-138.4,-6.7,156.8,0.000242,0.285334,0.714425,3169977.5,2436472.1,36.0,32768,0,true,true,true,0.000000,0.9972,0.9530,0.003228,0.000208,-117.7,111.0,19.8042,19.8606,4.1857,195,11.0,25.0,26.0,96.7400,733409.4,34.0,4.8848,0.724533,true,4.7314,0.166282,0.005195,0.007047,0.000242,0,0
sphere,33,f64,dual_contouring,5453222.0,324188.0,484303.2,588170.8,4022923.4,30739.8,2896.7,0.000531,0.905021,0.094447,14643308.9,2466387.1,120473.9,32768,1160,true,true,true,0.035400,0.9958,0.9501,0.007493,0.000208,-6751.5,37491.3,166.4191,167.1248,4.1786,23,11.5,120462.4,1324961.6,446.8783,662691.3,10068795.6,2.6853,0.724533,true,39.8263,0.166282,0.005195,0.006847,0.000531,2316,1160
torus,33,f64,dual_contouring,5924776.3,647982.7,484058.0,670783.3,4085499.7,33787.4,2665.1,0.000450,0.912147,0.087403,14496978.7,2465229.1,117353.1,32768,1128,true,true,true,0.034424,0.9947,0.9501,0.007493,0.000208,-1486.5,35274.0,180.8098,181.7645,4.1821,22,11.1,117342.0,1349009.0,442.4127,770504.9,9794882.7,2.4468,0.724533,true,43.2343,0.166282,0.005195,0.007396,0.000450,2256,1128
box_exact,33,f64,dual_contouring,3863264.6,380748.7,474397.6,792814.6,2173083.7,39858.9,2361.1,0.000611,0.866274,0.133114,15459680.6,2474381.1,140441.0,32768,1352,true,true,true,0.041260,0.9868,0.9501,0.007493,0.000208,24.5,39834.5,117.8975,119.4707,4.1832,33,11.2,140429.8,1880637.8,471.7920,1357729.9,9606487.4,4.0017,0.724533,true,28.1835,0.166282,0.005195,0.008859,0.000611,2700,1352
