csg_difference,33,15114,0.461243,false,0.980774,0.104797,true,false,630,3,false,32768,0.875977,-0.019226,0,29718,plateau = a numerically constant cell face; isolating = no critical point of the trilinear on dQ; discrete Morse = P-58/R-056 distinct vertex values (10.1109/tpami.2011.95 Alg.1 s3.1),3434,1.250e-10,1.000e-9,32138,1,29.402,14487,15114,false,29334
csg_difference,65,120618,0.460121,false,0.989986,0.134041,true,false,2625,18,false,262144,0.855946,-0.010014,0,239178,plateau = a numerically constant cell face; isolating = no critical point of the trilinear on dQ; discrete Morse = P-58/R-056 distinct vertex values (10.1109/tpami.2011.95 Alg.1 s3.1),35138,6.250e-11,1.000e-9,259519,1,27.143,118011,120618,false,227006
thin_plate,17,1024,0.250000,true,1.000000,0.187500,true,false,0,0,false,4096,0.812500,0.000000,0,1992,plateau = a numerically constant cell face; isolating = no critical point of the trilinear on dQ; discrete Morse = P-58/R-056 distinct vertex values (10.1109/tpami.2011.95 Alg.1 s3.1),768,2.500e-10,1.000e-9,4096,1,31.223,1024,1024,false,3328
thin_plate,33,8192,0.250000,true,1.000000,0.218750,true,false,0,0,false,32768,0.781250,0.000000,0,16264,plateau = a numerically constant cell face; isolating = no critical point of the trilinear on dQ; discrete Morse = P-58/R-056 distinct vertex values (10.1109/tpami.2011.95 Alg.1 s3.1),7168,1.250e-10,1.000e-9,32768,1,26.946,8192,8192,false,25600
thin_plate,65,65536,0.250000,true,1.000000,0.234375,true,false,0,0,false,262144,0.765625,0.000000,0,130824,plateau = a numerically constant cell face; isolating = no critical point of the trilinear on dQ; discrete Morse = P-58/R-056 distinct vertex values (10.1109/tpami.2011.95 Alg.1 s3.1),61440,6.250e-11,1.000e-9,262144,1,26.170,65536,65536,false,200704
gyroid,17,0,0.000000,true,1.000000,0.773926,true,false,0,0,false,4096,0.226074,0.000000,0,0,plateau = a numerically constant cell face; isolating = no critical point of the trilinear on dQ; discrete Morse = P-58/R-056 distinct vertex values (10.1109/tpami.2011.95 Alg.1 s3.1),3170,8.750e-10,1.000e-9,4096,1,80.968,0,0,true,926
gyroid,33,0,0.000000,true,1.000000,0.891998,true,false,0,0,false,32768,0.108002,0.000000,0,0,plateau = a numerically constant cell face; isolating = no critical point of the trilinear on dQ; discrete Morse = P-58/R-056 distinct vertex values (10.1109/tpami.2011.95 Alg.1 s3.1),29229,4.375e-10,1.000e-9,32768,1,54.452,0,0,true,3539
gyroid,65,0,0.000000,true,1.000000,0.945572,true,false,0,0,false,262144,0.054428,0.000000,0,0,plateau = a numerically constant cell face; isolating = no critical point of the trilinear on dQ; discrete Morse = P-58/R-056 distinct vertex values (10.1109/tpami.2011.95 Alg.1 s3.1),247876,2.188e-10,1.000e-9,262144,1,40.738,0,0,true,14268
fbm_terrain,17,0,0.000000,true,1.000000,1.000000,true,true,0,0,false,4096,0.000000,0.000000,0,0,plateau = a numerically constant cell face; isolating = no critical point of the trilinear on dQ; discrete Morse = P-58/R-056 distinct vertex values (10.1109/tpami.2011.95 Alg.1 s3.1),4096,1.000e-9,1.000e-9,4096,1,28.894,0,0,true,0
fbm_terrain,33,0,0.000000,true,1.000000,1.000000,true,true,0,0,false,32768,0.000000,0.000000,0,0,plateau = a numerically constant cell face; isolating = no critical point of the trilinear on dQ; discrete Morse = P-58/R-056 distinct vertex values (10.1109/tpami.2011.95 Alg.1 s3.1),32768,5.000e-10,1.000e-9,32768,1,27.185,0,0,true,0
fbm_terrain,65,0,0.000000,true,1.000000,1.000000,true,true,0,0,false,262144,0.000000,0.000000,0,0,plateau = a numerically constant cell face; isolating = no critical point of the trilinear on dQ; discrete Morse = P-58/R-056 distinct vertex values (10.1109/tpami.2011.95 Alg.1 s3.1),262144,2.500e-10,1.000e-9,262144,1,26.925,0,0,true,0
noise_cavity,17,0,0.000000,true,1.000000,0.725830,true,false,0,0,false,4096,0.274170,0.000000,0,0,plateau = a numerically constant cell face; isolating = no critical point of the trilinear on dQ; discrete Morse = P-58/R-056 distinct vertex values (10.1109/tpami.2011.95 Alg.1 s3.1),2973,2.500e-10,1.000e-9,4096,1,65.801,0,0,true,1123
noise_cavity,33,0,0.000000,true,1.000000,0.861176,true,false,0,0,false,32768,0.138824,0.000000,0,0,plateau = a numerically constant cell face; isolating = no critical point of the trilinear on dQ; discrete Morse = P-58/R-056 distinct vertex values (10.1109/tpami.2011.95 Alg.1 s3.1),28219,1.250e-10,1.000e-9,32768,1,55.487,0,0,true,4549
noise_cavity,65,0,0.000000,false,0.999996,0.929394,true,false,1,1,false,262144,0.070602,-0.000004,0,0,plateau = a numerically constant cell face; isolating = no critical point of the trilinear on dQ; discrete Morse = P-58/R-056 distinct vertex values (10.1109/tpami.2011.95 Alg.1 s3.1),243635,6.250e-11,1.000e-9,262143,1,45.364,0,0,true,18509
