# experiment P-79 (R-079)
# hypothesis: EPIC'S OWN ANSWER TO DEFORMING GEOMETRY WAS TO STOP CACHING. The Fortnite virtual-shadow-map write-up gives exactly one quantitative figure -- a light-loop optimisation from 1.56 ms to 1.08 ms -- and describes invalidation qualitatively: sun movement causes 'quite significant shadow page table changes frame to frame', animated deformation invalidates pages, and directional sun shadows were left uncached. FOR A WORLD WHERE THE GEOMETRY IS BEING DUG AWAY THAT IS THE RELEVANT PRECEDENT AND THE NUMBER IS MISSING FROM THE LITERATURE ENTIRELY. (C1) In game_dig with a cached shadow atlas, one brush stroke invalidates a page count proportional to the brush's PROJECTED area from the light, with a constant under 3 -- not to the brush volume and not to the scene. (C2) Invalidating only the pages the brush's light-space bounding volume touches produces a PIXEL- IDENTICAL shadow to a full re-render, on all eight reference fields. (C3) The saving is worth having: cached-with-invalidation beats uncached by at least 2x in shadow cost under a continuous dig at game_dig's throttled 12.5 strokes per second. SHARE: C3 moves the shadow rendering stage only.
# falsified by: C1 by a constant above 3, or by scene-proportional invalidation. C2 by any pixel difference, which would mean the conservative bound is wrong and localised invalidation is unsound. C3 by under 2x, which vindicates Epic's decision and closes the direction with a number they did not publish. VACUITY CONTROL: the light must be positioned so the brush casts a shadow into the visible frame, asserted by a non-zero changed-pixel count on the full-re-render arm.
# commit 02ffe13 on amd-ryzen-9-5900x-12-core at 2026-08-28T00:52:03Z
field,light_direction,brush_volume_cells,brush_projected_area,pages_invalidated,invalidation_constant,changed_pixels_full,changed_pixels_localised,shadow_ms_cached,shadow_ms_uncached,stroke_rate_hz,c1_holds,c2_holds,c3_holds,arm,arm_index,brush_projected_area_pages,brush_radius_cells,brush_radius_world,buried_clearance_cells,cell_size_world,changed_pixels_outside_dilated_disc,changed_pixels_outside_sound_disc,changed_pixels_outside_tight_disc,cpu_mhz,excess_in_cell_diagonals,frame_covered_texels,invalidation_constant_sound,invalidation_constant_tight,light_dx,light_dy,light_dz,max_change_excess_cells,page_cells,page_texels,pages_fraction,pages_invalidated_sound,pages_invalidated_tight,pages_per_projected_area_cell,pages_per_volume_cell,pages_total,pixel_diff_localised_vs_full,pixel_diff_sound,ratio_per_stroke,ratio_per_stroke_sound,shadow_ms_full_pass,shadow_ms_localised_pass,shadow_ms_sound_pass,shadow_texels,sound_dilate_cells,texel_size_world,texels_per_cell,triangles_base,triangles_dug
sphere,low_45,2144.6606,201.0619,9,11.4592,14895,14895,20.74270,21.89684,12.5,false,true,false,dig,1,0.785398,8.0000,0.500000,0.0000,0.062500,112,0,2043,4197.4,1.0127,51404,11.4592,5.0930,0.707107,-0.707107,0.000000,1.7540,16.0000,128,0.18367347,9,4,0.044762,0.004196,49,0,0,1.0556,1.0546,1.75175,1.65942,1.66111,896,3.4641,0.007812,8,9512,9748
sphere,low_45,17157.2847,804.2477,324,1.6114,41351,41351,20.37120,21.51258,12.5,true,true,false,dig,2,201.061930,16.0000,1.000000,0.0000,0.062500,0,0,0,4197.4,-0.7021,51404,1.9894,1.4374,0.707107,-0.707107,0.000000,-1.2161,2.0000,16,0.10331633,400,289,0.402861,0.018884,3136,0,0,1.0560,1.0635,1.72101,1.62970,1.61823,896,3.4641,0.007812,8,9512,9440
sphere,low_45,17157.2847,804.2477,100,1.9894,41351,41351,20.32520,21.51258,12.5,true,true,false,dig,2,50.265482,16.0000,1.000000,0.0000,0.062500,0,0,0,4197.4,-0.7021,51404,1.9894,1.6114,0.707107,-0.707107,0.000000,-1.2161,4.0000,32,0.12755102,100,81,0.124340,0.005828,784,0,0,1.0584,1.0539,1.72101,1.62602,1.63296,896,3.4641,0.007812,8,9512,9440
sphere,low_45,17157.2847,804.2477,36,2.8648,41351,41351,20.22007,21.51258,12.5,true,true,false,dig,2,12.566371,16.0000,1.000000,0.0000,0.062500,0,0,0,4197.4,-0.7021,51404,2.8648,1.9894,0.707107,-0.707107,0.000000,-1.2161,8.0000,64,0.18367347,36,25,0.044762,0.002098,196,0,0,1.0639,1.0525,1.72101,1.61761,1.63523,896,3.4641,0.007812,8,9512,9440
sphere,low_45,17157.2847,804.2477,9,2.8648,41351,41351,20.31894,21.51258,12.5,true,true,false,dig,2,3.141593,16.0000,1.000000,0.0000,0.062500,0,0,0,4197.4,-0.7021,51404,2.8648,2.8648,0.707107,-0.707107,0.000000,-1.2161,16.0000,128,0.18367347,9,9,0.011191,0.000525,49,0,0,1.0587,1.0608,1.72101,1.62551,1.62233,896,3.4641,0.007812,8,9512,9440
sphere,oblique,33.5103,12.5664,16,5.0930,1734,1734,3.00415,24.40586,12.5,false,true,true,dig,0,3.141593,2.0000,0.125000,0.0000,0.062500,134,0,938,4197.4,0.8967,51408,11.4592,2.8648,0.597022,-0.696526,0.398015,1.5532,2.0000,16,0.00510204,36,9,1.273240,0.477465,3136,0,0,8.1240,5.4454,1.95247,0.24033,0.35855,896,3.4641,0.007812,8,9512,9528
sphere,oblique,33.5103,12.5664,4,5.0930,1734,1734,2.91303,24.40586,12.5,false,true,true,dig,0,0.785398,2.0000,0.125000,0.0000,0.062500,134,0,938,4197.4,0.8967,51408,20.3718,5.0930,0.597022,-0.696526,0.398015,1.5532,4.0000,32,0.00510204,16,4,0.318310,0.119366,784,0,0,8.3782,3.4555,1.95247,0.23304,0.56504,896,3.4641,0.007812,8,9512,9528
sphere,oblique,33.5103,12.5664,4,20.3718,1734,1734,6.49881,24.40586,12.5,false,true,true,dig,0,0.196350,2.0000,0.125000,0.0000,0.062500,134,0,938,4197.4,0.8967,51408,20.3718,20.3718,0.597022,-0.696526,0.398015,1.5532,8.0000,64,0.02040816,4,4,0.318310,0.119366,196,0,0,3.7554,3.7815,1.95247,0.51990,0.51632,896,3.4641,0.007812,8,9512,9528
sphere,oblique,33.5103,12.5664,1,20.3718,1734,1734,6.55731,24.40586,12.5,false,true,true,dig,0,0.049087,2.0000,0.125000,0.0000,0.062500,134,0,938,4197.4,0.8967,51408,20.3718,20.3718,0.597022,-0.696526,0.398015,1.5532,16.0000,128,0.02040816,1,1,0.079577,0.029842,49,0,0,3.7219,3.6986,1.95247,0.52459,0.52790,896,3.4641,0.007812,8,9512,9528
sphere,oblique,2144.6606,201.0619,100,1.9894,15159,15159,10.13835,24.76522,12.5,true,true,true,dig,1,50.265482,8.0000,0.500000,0.0000,0.062500,148,0,2307,4197.4,0.8949,51408,2.8648,1.6114,0.597022,-0.696526,0.398015,1.5500,2.0000,16,0.03188776,144,81,0.497359,0.046627,3136,0,0,2.4427,1.6699,1.98122,0.81107,1.18646,896,3.4641,0.007812,8,9512,9736
