csg_difference,65,2,2,true,0,3.1763,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,calibration,287496,0,0,0.062500000,262144,2,2,none,1,1,2,f26_b6,0,96,0.7974,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,3.9831,marching_cubes,25686,true,true,12020,6012,3.1975,3.1736,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
csg_difference,65,2,2,true,0,3.1763,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,calibration,287496,0,0,0.062500000,262144,2,2,none,1,1,2,f26_b6,0,96,0.9930,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,3.1988,marching_cubes+trilinear,25686,true,true,12020,6012,3.1975,3.1736,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
thin_plate,33,2,2,true,0,0.3458,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,calibration,39304,0,0,0.125000000,32768,2,2,none,1,1,2,f26_b6,0,96,1.0324,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,0.3349,marching_cubes,225,true,true,1016,510,0.3515,0.3456,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
thin_plate,33,2,2,true,0,0.3458,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,calibration,39304,0,0,0.125000000,32768,2,2,none,1,1,2,f26_b6,0,96,1.0071,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,0.3433,marching_cubes+trilinear,225,true,true,1016,510,0.3515,0.3456,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
thin_plate,65,2,2,true,0,2.6750,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,calibration,287496,0,0,0.062500000,262144,2,2,none,1,1,2,f26_b6,0,96,1.0648,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,2.5122,marching_cubes,961,true,true,4088,2046,2.6867,2.6724,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
thin_plate,65,2,2,true,0,2.6750,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,calibration,287496,0,0,0.062500000,262144,2,2,none,1,1,2,f26_b6,0,96,1.0406,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,2.5706,marching_cubes+trilinear,961,true,true,4088,2046,2.6867,2.6724,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
gyroid,33,-24,-24,true,40,2.6463,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,new_ground_truth,39304,0,0,0.437500000,32768,none,-24,none,-12,-25,-50,f26_b6,37,96,0.7393,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,3.5796,marching_cubes,5413,false,none,10632,5292,2.6597,1.5570,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
gyroid,33,-24,-24,true,40,2.6463,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,new_ground_truth,39304,0,0,0.437500000,32768,none,-24,none,-12,-25,-50,f26_b6,37,96,0.7382,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,3.5846,marching_cubes+trilinear,5413,false,none,10656,5304,2.6597,1.5570,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
gyroid,65,-24,-24,true,141,11.5190,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,new_ground_truth,287496,0,0,0.218750000,262144,none,-24,none,-12,-21,-42,f26_b6,135,96,0.8047,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,14.3151,marching_cubes,43203,false,none,43116,21534,11.6457,11.4863,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
gyroid,65,-24,-24,true,141,11.5190,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,new_ground_truth,287496,0,0,0.218750000,262144,none,-24,none,-12,-21,-42,f26_b6,135,96,0.7866,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,14.6440,marching_cubes+trilinear,43203,false,none,43242,21597,11.6457,11.4863,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
fbm_terrain,33,none,1,not_applicable,30,6.8884,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,out_of_scope,39304,190,3047,0.500000000,32768,none,1,none,1,1,none,f26_b6,30,96,0.9400,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,7.3283,marching_cubes,18317,false,none,3946,2069,6.8983,6.8854,5,0,digital_topology_etiene_2012_sec_4_1,out_of_scope_level_set_has_boundary,none,none,0
fbm_terrain,33,none,1,not_applicable,30,6.8884,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,out_of_scope,39304,190,3047,0.500000000,32768,none,1,none,1,1,none,f26_b6,30,96,0.9386,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,7.3393,marching_cubes+trilinear,18317,false,none,3966,2079,6.8983,6.8854,5,0,digital_topology_etiene_2012_sec_4_1,out_of_scope_level_set_has_boundary,none,none,0
fbm_terrain,65,none,1,not_applicable,58,52.6494,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,out_of_scope,287496,390,12195,0.250000000,262144,none,1,none,1,1,none,f26_b6,58,96,0.9699,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,54.2839,marching_cubes,140108,false,none,16884,8638,53.1102,52.6399,5,0,digital_topology_etiene_2012_sec_4_1,out_of_scope_level_set_has_boundary,none,none,0
fbm_terrain,65,none,1,not_applicable,58,52.6494,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,out_of_scope,287496,390,12195,0.250000000,262144,none,1,none,1,1,none,f26_b6,58,96,0.9712,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,54.2086,marching_cubes+trilinear,140108,false,none,16900,8646,53.1102,52.6399,5,0,digital_topology_etiene_2012_sec_4_1,out_of_scope_level_set_has_boundary,none,none,0
noise_cavity,33,82,-96,false,551,1.8777,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,new_ground_truth,39304,0,0,0.125000000,32768,none,-96,none,41,-90,-180,f26_b6,487,96,0.6945,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,2.7035,marching_cubes,5817,false,none,13236,6522,1.8825,1.8763,5,1,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
noise_cavity,33,82,6,false,551,1.8777,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,new_ground_truth,39304,0,0,0.125000000,32768,none,6,none,41,-90,-180,f26_b6,487,96,0.6575,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,2.8557,marching_cubes+trilinear,5817,false,none,13482,6747,1.8825,1.8763,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
noise_cavity,65,-152,-175,false,602,14.3024,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,new_ground_truth,287496,0,0,0.062500000,262144,none,-175,none,-76,-109,-218,f26_b6,557,96,0.7434,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,19.2380,marching_cubes,47058,false,none,58112,28882,14.4820,14.2915,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
noise_cavity,65,-152,-162,false,602,14.3024,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,new_ground_truth,287496,0,0,0.062500000,262144,none,-162,none,-76,-109,-218,f26_b6,557,96,0.7043,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,20.3070,marching_cubes+trilinear,47058,false,none,58632,29154,14.4820,14.2915,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
gyroid_nodal,34,-8,-8,true,0,0.7698,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,p142_cross_check,35937,0,0,0.190399555,35937,none,-8,-8,-4,-4,-8,f26_b6,0,96,0.4829,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,1.5941,marching_cubes,17968,false,none,10584,5284,0.7750,0.7637,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,1,305,3
gyroid_nodal,34,-8,-8,true,0,0.7698,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,p142_cross_check,35937,0,0,0.190399555,35937,none,-8,-8,-4,-4,-8,f26_b6,0,96,0.4871,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,1.5804,marching_cubes+trilinear,17968,false,none,10584,5284,0.7750,0.7637,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,1,305,3
gyroid_nodal,67,-64,-64,true,0,6.0522,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,p142_cross_check,287496,0,0,0.190399555,287496,none,-64,-64,-32,-32,-64,f26_b6,0,96,0.4746,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,12.7531,marching_cubes,143751,false,none,84672,42272,6.0738,6.0204,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,2,1225,3
gyroid_nodal,67,-64,-64,true,0,6.0522,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,p142_cross_check,287496,0,0,0.190399555,287496,none,-64,-64,-32,-32,-64,f26_b6,0,96,0.4893,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,12.3684,marching_cubes+trilinear,143751,false,none,84672,42272,6.0738,6.0204,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,2,1225,3
gyroid_nodal,100,-216,-216,true,0,20.2637,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,p142_cross_check,970299,0,0,0.190399555,970299,none,-216,-216,-108,-108,-216,f26_b6,0,96,0.4896,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,41.3914,marching_cubes,485162,false,none,285768,142668,20.7734,20.2308,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,3,2769,3
gyroid_nodal,100,-216,-216,true,0,20.2637,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,p142_cross_check,970299,0,0,0.190399555,970299,none,-216,-216,-108,-108,-216,f26_b6,0,96,0.4923,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,41.1577,marching_cubes+trilinear,485162,false,none,285768,142668,20.7734,20.2308,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,3,2769,3
