# experiment P-13 (R-006)
# hypothesis: M-66's non-convergent angle is bounded below by the dihedral angle of the feature, so it is a property of sharp edges rather than of resolution and is predictable from the field.
# falsified by: The angle failing to track the dihedral prediction, which makes it a defect with a location rather than a property.
# commit ddee724 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-16T06:27:38Z
dihedral_deg,samples,measured_angle_deg,predicted_angle_deg,apex,cell_size,extractor,inverted_offsurface_cells,inverted_vertices,mean_angle_deg,median_angle_deg,p99_angle_deg,rotation_deg,triangles,vertices_counted
45.0,129,85.9349,67.5000,aligned,3.12500000000000000e-2,dual_contouring,0.0000,0,6.2032,0.1190,67.5000,17,62230,30618
45.0,17,85.9349,67.5000,offset,2.50000000000000000e-1,marching_cubes,0.0000,0,9.8113,0.0000,85.9349,17,864,375
45.0,17,22.6310,67.5000,offset,2.50000000000000000e-1,dual_contouring,0.0000,0,5.2465,0.2116,22.6310,17,780,336
45.0,33,85.9349,67.5000,offset,1.25000000000000000e-1,marching_cubes,0.0000,0,9.7873,0.0000,85.9349,17,3712,1736
45.0,33,23.2969,67.5000,offset,1.25000000000000000e-1,dual_contouring,0.0000,0,5.0647,0.0136,23.2969,17,3534,1650
45.0,65,85.9349,67.5000,offset,6.25000000000000000e-2,marching_cubes,0.0000,0,7.2798,0.0000,85.9349,17,15360,7434
45.0,65,85.9349,67.5000,offset,6.25000000000000000e-2,dual_contouring,0.0000,0,4.3973,0.0113,75.6301,17,14994,7254
45.0,129,85.9349,67.5000,offset,3.12500000000000000e-2,marching_cubes,0.0000,0,8.8290,0.0000,85.9349,17,62208,30607
45.0,129,98.4638,67.5000,offset,3.12500000000000000e-2,dual_contouring,0.0000,126,2.8015,0.0357,41.8810,17,61468,30240
45.0,17,40.9349,67.5000,aligned,2.50000000000000000e-1,marching_cubes,0.0000,0,11.1073,0.0000,40.9349,37,832,360
45.0,17,69.1199,67.5000,aligned,2.50000000000000000e-1,dual_contouring,0.0000,0,10.8537,0.2977,69.1199,37,750,322
45.0,33,40.9349,67.5000,aligned,1.25000000000000000e-1,marching_cubes,0.0000,0,7.6400,0.0000,40.9349,37,3456,1581
45.0,33,45.6007,67.5000,aligned,1.25000000000000000e-1,dual_contouring,0.0000,0,5.3172,0.1938,45.6007,37,3286,1500
45.0,65,67.5000,67.5000,aligned,6.25000000000000000e-2,marching_cubes,0.0000,0,7.9157,0.0000,67.5000,37,13952,6804
45.0,65,67.5145,67.5000,aligned,6.25000000000000000e-2,dual_contouring,0.0000,0,4.5708,0.0701,45.6007,37,13608,6634
45.0,129,85.9349,67.5000,aligned,3.12500000000000000e-2,marching_cubes,0.0000,0,8.1002,0.0000,67.5000,37,56320,27813
45.0,129,86.1517,67.5000,aligned,3.12500000000000000e-2,dual_contouring,0.0000,0,6.6944,0.1153,85.9349,37,55626,27468
45.0,17,67.5000,67.5000,offset,2.50000000000000000e-1,marching_cubes,0.0000,0,14.4073,0.0000,67.5000,37,832,375
45.0,17,93.7056,67.5000,offset,2.50000000000000000e-1,dual_contouring,0.2801,14,13.1774,3.2574,93.7056,37,750,336
45.0,33,67.5000,67.5000,offset,1.25000000000000000e-1,marching_cubes,0.0000,0,8.2229,0.0000,67.5000,37,3456,1643
45.0,33,86.0103,67.5000,offset,1.25000000000000000e-1,dual_contouring,0.0000,0,5.8946,0.0694,86.0103,37,3286,1560
45.0,65,85.9349,67.5000,offset,6.25000000000000000e-2,marching_cubes,0.0000,0,11.3723,0.0000,85.9349,37,14080,6804
45.0,65,86.0103,67.5000,offset,6.25000000000000000e-2,dual_contouring,0.0000,0,6.3347,0.1529,85.9349,37,13734,6634
45.0,129,85.9349,67.5000,offset,3.12500000000000000e-2,marching_cubes,0.0000,0,8.9717,0.0000,85.9349,37,56576,27813
45.0,129,87.6614,67.5000,offset,3.12500000000000000e-2,dual_contouring,0.0000,0,5.4000,0.1287,85.9349,37,55880,27468
60.0,17,60.0000,60.0000,aligned,2.50000000000000000e-1,marching_cubes,0.0000,0,6.8571,0.0000,60.0000,0,1152,525
60.0,17,60.0331,60.0000,aligned,2.50000000000000000e-1,dual_contouring,0.0000,0,13.1819,0.0517,60.0331,0,1050,476
60.0,33,60.0000,60.0000,aligned,1.25000000000000000e-1,marching_cubes,0.0000,0,4.9315,0.0000,60.0000,0,4736,2263
60.0,33,60.0331,60.0000,aligned,1.25000000000000000e-1,dual_contouring,0.0000,0,5.8165,0.0000,60.0331,0,4526,2160
60.0,65,60.0000,60.0000,aligned,6.25000000000000000e-2,marching_cubes,0.0000,0,4.4295,0.0000,60.0000,0,19200,9387
60.0,65,60.0331,60.0000,aligned,6.25000000000000000e-2,dual_contouring,0.0000,0,5.2761,0.0000,60.0331,0,18774,9176
