# experiment P-104 (R-104)
# hypothesis: THE ACTIVE-CELL BITMAP IS FASTLANES' HORIZONTAL LAYOUT, THE ONE THEY MEASURE AS THE OBSTACLE, AND TWO MEASUREMENTS IN THIS REPOSITORY ALREADY BLAME THE LAYOUT. Correction the research doc gets wrong and this registration carries: dual.rs:359-381 packs ONE BIT PER SAMPLE, 64 to a u64, ALONG X ONLY, with bit_row = size[0].div_ceil(64) -- the cell row is one shorter and is handled separately by cell_words = cells_x.div_ceil(64) at dual.rs:484 and by cell_mask at dual.rs:445. The doc and experiment.rs:3192 both say '64 cells per u64' and that is wrong by one; this row is about a SAMPLE plane relayout with a documented cell/word asymmetry underneath it. Second constraint, also from the source: dual.rs:496 walks set bits in ascending x SPECIFICALLY to keep vertex creation order, so any relayout must restore that order or C3 fails by construction -- and the restore cost is a column, resort_ns_per_vertex, not a footnote. (C1) A transposed packing -- bit k being the k-th cell of a 4x4x4 block rather than the k-th x -- brings M-287's 128 cubed tax BELOW 1.5x on M-287's own fixture. (C2) active_word's fused 'any & !all' fold survives the relayout within plus or minus 20% of its instructions per cell. (C3) The emitted mesh is bit-identical. SHARE: M-287's tax is 3.37x of cycles/sample at 128 cubed, so the quantity C1 moves is the whole traversal stage on the one grid size where it is worst; C2 and C3 are cost and correctness bounds, not speedups.
# falsified by: C1 by no improvement on the M-287 fixture, which would mean the tax is genuinely the stride and x28's conclusion needs revisiting. C2 by the fold costing more than 20% extra, which would mean the relayout buys the access pattern and sells the arithmetic. C3 by the re-sort that restores vertex creation order costing more than the layout saves. VACUITY CONTROL: tax_vs_127 measured on the UNMODIFIED layout must reproduce M-287's 3.37x to within 10%, because a harness that cannot see the tax cannot measure its removal.
# commit d12dddc on amd-ryzen-9-5900x-12-core at 2026-08-29T01:10:18Z
field,resolution,layout,cycles_per_sample,tax_vs_127,instructions_per_cell,mesh_identical,resort_ns_per_vertex,c1_holds,c2_holds,c3_holds,active_cells,active_fraction,bitmap_bytes,bitmap_share_of_m287_scaffold,bitmap_words,c1_bar,c1_ceiling_at_128,c1_field,c1_tax_vs_127_interleaved,c1_vacuity_control_reproduced,c1_vacuity_control_target,c1_vacuity_control_tax,c2_cycle_ratio_fold_this_row,c2_instruction_ratio_fold,c2_instruction_ratio_fold_this_row,c2_tolerance,c3_list_matches_scalar,c3_list_matches_shipped,c3_recording_wrapper_transparent,cells,count_ones_calls_per_counted_window,cycles_per_cell_fold,cycles_per_cell_walk,cycles_per_sample_build,cycles_per_sample_build_and_fold,cycles_per_sample_ordered,ghz,instructions_per_cell_stage,instructions_per_cell_walk,instructions_per_sample,instructions_per_sample_build,l1d_read_misses_per_cell_fold,l1d_read_misses_per_sample,m287_cycles_per_sample_padded,m287_cycles_per_sample_unpadded,m287_l1d_misses_per_sample_padded,m287_l1d_misses_per_sample_unpadded,m287_padded_row_samples,m287_scaffold_control_reproduced,m287_scaffold_control_tax,m287_scaffold_control_tax_padded,m287_tax_vs_127_padded,m287_tax_vs_127_unpadded,ns_per_sample,reps,resort_cycles_per_vertex,resort_instructions_per_vertex,samples,target_feature_popcnt,tax_vs_127_instructions,tax_vs_127_l1d_misses,tax_vs_127_ns,values_plane_bytes,values_row_bytes,values_row_samples
box_exact,128,along_x,1.862092,0.9998,1.693298,true,0.078177,vacuous,false,true,24578,0.01199873,262144,0.014038,32768,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.0432,1.8054,1.8054,0.2,true,true,true,2048383,0,0.346805,0.038234,1.486007,1.824747,1.858857,4.1818,9.916214,0.121312,9.685613,7.913202,0.001937,0.069644,25.303445,132.647709,1.532831,6.082319,129,false,5.8267,1.1301,1.0895,5.0559,0.445289,5,0.000000,0.000000,2097152,false,1.0013,0.9991,0.9910,65536,512,128
box_exact,128,interleaved,3.129193,1.0159,3.057015,true,2.515048,vacuous,false,true,24578,0.01199873,262144,0.023590,32768,1.5,1.00037,sphere_surface_free,1.0138,false,3.37,1.0173,2.0432,1.8054,1.8054,0.2,true,true,true,2048383,0,0.708587,0.028915,2.408841,3.100950,3.248746,4.1825,17.330933,0.153755,16.927905,13.791800,0.002151,0.096775,25.303445,132.647709,1.532831,6.082319,129,false,5.8267,1.1301,1.0895,5.0559,0.748172,5,10.200981,46.236518,2097152,false,0.9946,1.2215,1.0165,65536,512,128
box_exact,129,along_x,1.974305,1.0600,1.781632,true,0.000000,vacuous,false,true,23816,0.01135635,399384,0.085035,49923,1.5,1.00484,sphere_surface_free,1.0138,false,3.37,1.0173,1.7616,1.8054,1.6881,0.2,true,true,true,2097152,0,0.400443,0.036362,1.547580,1.938782,1.967423,4.1772,10.380183,0.113391,10.140650,8.289357,0.002991,0.072478,23.200008,23.217610,1.520448,1.517528,129,false,5.8267,1.1301,0.9989,0.8850,0.472636,5,0.000000,0.000000,2146689,false,1.0484,1.0397,1.0519,66564,516,129
box_exact,129,interleaved,3.089590,1.0031,3.007599,true,2.401351,vacuous,false,true,23816,0.01135635,287496,0.133071,35937,1.5,1.00041,sphere_surface_free,1.0138,false,3.37,1.0173,1.7616,1.8054,1.6881,0.2,true,true,true,2097152,0,0.705411,0.021967,2.378997,3.068130,3.203944,4.1781,17.324921,0.145251,16.925131,13.845036,0.003110,0.085147,23.200008,23.217610,1.520448,1.517528,129,false,5.8267,1.1301,0.9989,0.8850,0.739474,5,10.307458,46.829736,2146689,false,0.9944,1.0747,1.0047,66564,516,129
csg_difference,64,along_x,1.879877,1.0067,1.652465,true,0.003526,vacuous,false,true,6440,0.02575516,32768,0.056342,4096,1.5,1.00037,sphere_surface_free,1.0138,false,3.37,1.0173,2.3844,1.8054,1.9166,0.2,true,true,true,250047,0,0.303060,0.076924,1.517429,1.806503,1.880031,4.1780,10.451349,0.305862,9.969057,8.101099,0.000394,0.070050,27.886721,33.365683,1.462268,1.590452,65,false,5.8267,1.1301,0.9508,1.1187,0.449951,5,0.006266,0.000000,262144,false,1.0301,1.0055,1.0079,16384,256,64
csg_difference,64,interleaved,3.099528,1.0020,3.167085,true,2.235523,vacuous,false,true,6440,0.02575516,32768,0.092896,4096,1.5,1.00019,sphere_surface_free,1.0138,false,3.37,1.0173,2.3844,1.8054,1.9166,0.2,true,true,true,250047,0,0.722602,0.104604,2.310495,2.999752,3.326093,4.1860,17.977254,0.311709,17.147669,13.829408,0.000931,0.075049,27.886721,33.365683,1.462268,1.590452,65,false,5.8267,1.1301,0.9508,1.1187,0.740443,5,9.222457,42.598140,262144,false,1.0071,0.9472,1.0002,16384,256,64
csg_difference,127,along_x,1.867378,1.0000,1.706744,true,0.000000,vacuous,false,true,25004,0.01249965,258064,0.062613,32258,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.0617,1.8054,1.8337,0.2,true,true,true,2000376,0,0.350741,0.041230,1.484594,1.827114,1.863291,4.1829,9.909742,0.124775,9.677492,7.888898,0.002013,0.069670,29.328678,29.824203,1.501371,1.503218,127,false,5.8267,1.1301,1.0000,1.0000,0.446436,5,0.000000,0.000000,2048383,false,1.0000,1.0000,1.0000,64516,508,127
csg_difference,127,interleaved,3.093199,1.0000,3.129700,true,2.700619,vacuous,false,true,25004,0.01249965,262144,0.103714,32768,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.0617,1.8054,1.8337,0.2,true,true,true,2000376,0,0.723124,0.036284,2.351589,3.057765,3.216357,4.1783,17.435805,0.159968,17.027170,13.814601,0.002228,0.079236,29.328678,29.824203,1.501371,1.503218,127,false,5.8267,1.1301,1.0000,1.0000,0.740302,5,10.089397,45.315635,2048383,false,1.0000,1.0000,1.0000,64516,508,127
csg_difference,128,along_x,1.872262,1.0026,1.693305,true,0.000000,vacuous,false,true,25928,0.01265779,262144,0.013280,32768,1.5,1.00003,sphere_surface_free,1.0138,false,3.37,1.0173,2.0429,1.8054,1.8054,0.2,true,true,true,2048383,0,0.345684,0.046610,1.489090,1.826735,1.864576,4.1575,9.921905,0.127000,9.691172,7.913199,0.001943,0.069667,31.588289,140.985607,1.533554,6.135769,129,false,5.8267,1.1301,1.0770,4.7272,0.450332,5,0.000000,0.000000,2097152,false,1.0014,1.0000,1.0087,65536,512,128
csg_difference,128,interleaved,3.135341,1.0136,3.057022,true,2.917607,vacuous,false,true,25928,0.01265779,262144,0.022239,32768,1.5,1.00030,sphere_surface_free,1.0138,false,3.37,1.0173,2.0429,1.8054,1.8054,0.2,true,true,true,2048383,0,0.706183,0.034706,2.411682,3.101442,3.258797,4.1837,17.338370,0.161188,16.935168,13.791797,0.002218,0.096609,31.588289,140.985607,1.533554,6.135769,129,false,5.8267,1.1301,1.0770,4.7272,0.749426,5,9.985559,45.046761,2097152,false,0.9946,1.2193,1.0123,65536,512,128
