# experiment P-39 (R-038)
# hypothesis: A brush that provably cannot win the min/max chain inside a chunk can be deleted from the tape before the chunk is meshed, and deleted BIT-EXACTLY. The bound is one sample per brush per chunk: a shape with declared Lipschitz constant l varies by at most l*r over a box of circumradius r, so f(centre) +/- l*r encloses it. The exactness is a selection argument, not an approximation one -- `apply(Add)` is IEEE min and `apply(Subtract)` is IEEE max, both of which SELECT an operand rather than computing a new value, and negation is exact, so dropping a provably-losing Add or Subtract moves the result by zero ULP. The asymmetry is registered rather than discovered: smooth_min is exactly dominant at h == 0 and is NOT bit-exactly prunable in the losing direction, because at h == 1 it returns b + (a - b), which is not bit-identical to a. Clause one: on a 64-brush stack of Add and Subtract spheres and capsules scattered over a 4x4x4 chunk world, the median surviving-brush fraction per chunk is under 0.5. Clause two: meshing a chunk against the pruned tape is at least 1.25x meshing it against the full one. Clause three: every chunk's mesh is byte-identical between the two.
# falsified by: A survivor fraction at or near 1.0, meaning there is nothing to prune on a scattered stack and the mechanism has no purchase on this workload whatever the paper reports. Or -- the result that would matter far more -- any byte difference between pruned and full output on an Add/Subtract-only stack, which would refute the IEEE selection lemma the whole mechanism rests on.
# commit 68b37e9 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-23T18:01:30Z
brushes,chunks,survivor_fraction_median,survivor_fraction_max,ns_per_sample_full,ns_per_sample_pruned,speedup,mesh_identical,all_hashes_matched,bound_cost_fraction,bound_ns,c1_survivor_median_under_half,c2_speedup_at_least_1p25,c3_byte_identical,chunk,chunk_hash_matched,chunk_mesh_identical,chunks_all_survive,chunks_speedup_ge_1p25,dominant_adds,empty_chunks,mean_survivors,mesh_hash_full,mesh_hash_pruned,smooth_chunks_differing,smooth_k,smooth_losing_prune_identical,smooth_survivor_fraction_median,speedup_median,speedup_min,survivor_fraction,survivor_fraction_mean,survivor_fraction_min,survivors,tape_length,triangles,vertices,world_ns_per_sample_full,world_ns_per_sample_pruned,world_speedup
64,64,0.2969,1.0000,418.4755,349.6420,1.1969,true,true,0.00010346,1300.0,true,true,true,0-2-1,true,true,3,56,0,7,23.55,1497931875116705620,1497931875116705620,48,0.25,false,0.3438,3.3648,0.9923,0.8125,0.3679,0.0156,52,64,3227,1694,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,331.8685,227.9977,1.4556,true,true,0.00015012,1230.0,true,true,true,1-2-1,true,true,3,56,0,7,23.55,5801004588393852645,5801004588393852645,48,0.25,false,0.3438,3.3648,0.9923,0.6562,0.3679,0.0156,42,64,613,357,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,332.1120,158.8478,2.0908,true,true,0.00016291,930.0,true,true,true,2-2-1,true,true,3,56,0,7,23.55,7573758123514850077,7573758123514850077,48,0.25,false,0.3438,3.3648,0.9923,0.4531,0.3679,0.0156,29,64,613,357,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,420.8082,27.6614,15.2128,true,true,0.00073436,730.0,true,true,true,3-2-1,true,true,3,56,0,7,23.55,13451515892614383955,13451515892614383955,48,0.25,false,0.3438,3.3648,0.9923,0.0469,0.3679,0.0156,3,64,3227,1694,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,316.7019,91.2109,3.4722,true,true,0.00031728,1040.0,true,true,true,0-3-1,true,true,3,56,0,7,23.55,335535964048075331,335535964048075331,48,0.25,false,0.3438,3.3648,0.9923,0.2969,0.3679,0.0156,19,64,173,110,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,413.7973,76.9305,5.3788,true,true,0.00034724,960.0,true,true,true,1-3-1,true,true,3,56,0,7,23.55,9535684982032697924,9535684982032697924,48,0.25,false,0.3438,3.3648,0.9923,0.1562,0.3679,0.0156,10,64,3227,1694,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,413.6737,40.9022,10.1137,true,true,0.00050344,740.0,true,true,true,2-3-1,true,true,3,56,0,7,23.55,10182843318973274308,10182843318973274308,48,0.25,false,0.3438,3.3648,0.9923,0.0625,0.3679,0.0156,4,64,3227,1694,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,316.0107,23.8767,13.2351,true,true,0.00082745,710.0,true,true,true,3-3-1,true,true,3,56,0,7,23.55,15318572337558846632,15318572337558846632,48,0.25,false,0.3438,3.3648,0.9923,0.0469,0.3679,0.0156,3,64,173,110,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,328.7080,179.8720,1.8275,true,true,0.00019028,1230.0,true,true,true,0-0-2,true,true,3,56,0,7,23.55,9416812134061628101,9416812134061628101,48,0.25,false,0.3438,3.3648,0.9923,0.5781,0.3679,0.0156,37,64,529,309,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,413.9033,276.3212,1.4979,true,true,0.00014401,1430.0,true,true,true,1-0-2,true,true,3,56,0,7,23.55,16999340435644792734,16999340435644792734,48,0.25,false,0.3438,3.3648,0.9923,0.6719,0.3679,0.0156,43,64,3227,1694,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,413.9689,143.2251,2.8903,true,true,0.00025840,1330.0,true,true,true,2-0-2,true,true,3,56,0,7,23.55,13526481896853062833,13526481896853062833,48,0.25,false,0.3438,3.3648,0.9923,0.3281,0.3679,0.0156,21,64,3227,1694,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,316.7879,49.5140,6.3979,true,true,0.00055075,980.0,true,true,true,3-0-2,true,true,3,56,0,7,23.55,17586981532583937251,17586981532583937251,48,0.25,false,0.3438,3.3648,0.9923,0.1406,0.3679,0.0156,9,64,173,110,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,415.3953,328.8989,1.2630,true,true,0.00011845,1400.0,true,true,true,0-1-2,true,true,3,56,0,7,23.55,12222156033756517002,12222156033756517002,48,0.25,false,0.3438,3.3648,0.9923,0.7812,0.3679,0.0156,50,64,3253,1708,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,350.5489,268.1168,1.3074,true,true,0.00013077,1260.0,true,true,true,1-1-2,true,true,3,56,0,7,23.55,6592514100659409189,6592514100659409189,48,0.25,false,0.3438,3.3648,0.9923,0.7344,0.3679,0.0156,47,64,1145,656,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,331.7447,171.4725,1.9347,true,true,0.00013956,860.0,true,true,true,2-1-2,true,true,3,56,0,7,23.55,15894989831936553101,15894989831936553101,48,0.25,false,0.3438,3.3648,0.9923,0.4844,0.3679,0.0156,31,64,613,357,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,414.4370,24.7786,16.7256,true,true,0.00077487,690.0,true,true,true,3-1-2,true,true,3,56,0,7,23.55,8253297749915671661,8253297749915671661,48,0.25,false,0.3438,3.3648,0.9923,0.0312,0.3679,0.0156,2,64,3227,1694,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,414.9988,198.1538,2.0943,true,true,0.00018256,1300.0,true,true,true,0-2-2,true,true,3,56,0,7,23.55,3436226464291267718,3436226464291267718,48,0.25,false,0.3438,3.3648,0.9923,0.4688,0.3679,0.0156,30,64,3227,1694,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,331.8691,174.5507,1.9013,true,true,0.00014985,940.0,true,true,true,1-2-2,true,true,3,56,0,7,23.55,17411040754352358556,17411040754352358556,48,0.25,false,0.3438,3.3648,0.9923,0.5000,0.3679,0.0156,32,64,613,357,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,332.0722,114.2500,2.9065,true,true,0.00027035,1110.0,true,true,true,2-2-2,true,true,3,56,0,7,23.55,10952310868246074479,10952310868246074479,48,0.25,false,0.3438,3.3648,0.9923,0.3125,0.3679,0.0156,20,64,613,357,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,421.1421,25.3924,16.5854,true,true,0.00076710,700.0,true,true,true,3-2-2,true,true,3,56,0,7,23.55,8582332746763892125,8582332746763892125,48,0.25,false,0.3438,3.3648,0.9923,0.0312,0.3679,0.0156,2,64,3227,1694,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,316.6782,57.4362,5.5136,true,true,0.00051354,1060.0,true,true,true,0-3-2,true,true,3,56,0,7,23.55,11629949023056436105,11629949023056436105,48,0.25,false,0.3438,3.3648,0.9923,0.1875,0.3679,0.0156,12,64,173,110,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,414.6048,32.5068,12.7544,true,true,0.00063345,740.0,true,true,true,1-3-2,true,true,3,56,0,7,23.55,11250698637386062875,11250698637386062875,48,0.25,false,0.3438,3.3648,0.9923,0.0469,0.3679,0.0156,3,64,3227,1694,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,414.5160,20.8002,19.9285,true,true,0.00086957,650.0,true,true,true,2-3-2,true,true,3,56,0,7,23.55,2713981204834751976,2713981204834751976,48,0.25,false,0.3438,3.3648,0.9923,0.0156,0.3679,0.0156,1,64,3227,1694,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,317.8470,14.2105,22.3670,true,true,0.00133155,680.0,true,true,true,3-3-2,true,true,3,56,0,7,23.55,12466477682786997079,12466477682786997079,48,0.25,false,0.3438,3.3648,0.9923,0.0156,0.3679,0.0156,1,64,173,110,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,309.7708,122.5020,2.5287,true,true,0.00022488,990.0,true,true,true,0-0-3,true,true,3,56,0,7,23.55,9354609568656401157,9354609568656401157,48,0.25,false,0.3438,3.3648,0.9923,0.4062,0.3679,0.0156,26,64,0,0,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,315.9689,92.7572,3.4064,true,true,0.00032999,1100.0,true,true,true,1-0-3,true,true,3,56,0,7,23.55,3483282813690127896,3483282813690127896,48,0.25,false,0.3438,3.3648,0.9923,0.2812,0.3679,0.0156,18,64,173,110,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,316.0488,56.9287,5.5517,true,true,0.00046924,960.0,true,true,true,2-0-3,true,true,3,56,0,7,23.55,192186700851392625,192186700851392625,48,0.25,false,0.3438,3.3648,0.9923,0.1562,0.3679,0.0156,10,64,173,110,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,309.1592,28.4931,10.8503,true,true,0.00075198,770.0,true,true,true,3-0-3,true,true,3,56,0,7,23.55,9354609568656401157,9354609568656401157,48,0.25,false,0.3438,3.3648,0.9923,0.0625,0.3679,0.0156,4,64,0,0,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,315.9867,99.8366,3.1650,true,true,0.00030659,1100.0,true,true,true,0-1-3,true,true,3,56,0,7,23.55,14800807456871602105,14800807456871602105,48,0.25,false,0.3438,3.3648,0.9923,0.3281,0.3679,0.0156,21,64,173,110,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,414.9362,75.4640,5.4985,true,true,0.00037980,1030.0,true,true,true,1-1-3,true,true,3,56,0,7,23.55,13043964130453840592,13043964130453840592,48,0.25,false,0.3438,3.3648,0.9923,0.1719,0.3679,0.0156,11,64,3227,1694,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,414.9446,36.3670,11.4099,true,true,0.00063508,830.0,true,true,true,2-1-3,true,true,3,56,0,7,23.55,3237238041562018900,3237238041562018900,48,0.25,false,0.3438,3.3648,0.9923,0.0625,0.3679,0.0156,4,64,3227,1694,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,316.8986,17.0719,18.5626,true,true,0.00096167,590.0,true,true,true,3-1-3,true,true,3,56,0,7,23.55,2129249135642807250,2129249135642807250,48,0.25,false,0.3438,3.3648,0.9923,0.0312,0.3679,0.0156,2,64,173,110,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,316.7445,55.6459,5.6921,true,true,0.00048506,970.0,true,true,true,0-2-3,true,true,3,56,0,7,23.55,2708942686460580248,2708942686460580248,48,0.25,false,0.3438,3.3648,0.9923,0.1719,0.3679,0.0156,11,64,173,110,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,414.4195,36.3517,11.4003,true,true,0.00057411,750.0,true,true,true,1-2-3,true,true,3,56,0,7,23.55,4853807737563237972,4853807737563237972,48,0.25,false,0.3438,3.3648,0.9923,0.0625,0.3679,0.0156,4,64,3227,1694,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,416.2978,24.7343,16.8308,true,true,0.00066376,590.0,true,true,true,2-2-3,true,true,3,56,0,7,23.55,12698693943762781071,12698693943762781071,48,0.25,false,0.3438,3.3648,0.9923,0.0312,0.3679,0.0156,2,64,3227,1694,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,318.5357,17.1209,18.6050,true,true,0.00087766,540.0,true,true,true,3-2-3,true,true,3,56,0,7,23.55,13536855677573722040,13536855677573722040,48,0.25,false,0.3438,3.3648,0.9923,0.0312,0.3679,0.0156,2,64,173,110,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,312.5468,35.8330,8.7223,true,true,0.00062901,810.0,true,true,true,0-3-3,true,true,3,56,0,7,23.55,9354609568656401157,9354609568656401157,48,0.25,false,0.3438,3.3648,0.9923,0.1094,0.3679,0.0156,7,64,0,0,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,318.3214,17.0683,18.6498,true,true,0.00099448,610.0,true,true,true,1-3-3,true,true,3,56,0,7,23.55,5136366036459542084,5136366036459542084,48,0.25,false,0.3438,3.3648,0.9923,0.0312,0.3679,0.0156,2,64,173,110,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,317.0795,14.2030,22.3248,true,true,0.00109715,560.0,true,true,true,2-3-3,true,true,3,56,0,7,23.55,14399244567657082516,14399244567657082516,48,0.25,false,0.3438,3.3648,0.9923,0.0156,0.3679,0.0156,1,64,173,110,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,309.7255,13.7842,22.4695,true,true,0.00113048,560.0,true,true,true,3-3-3,true,true,3,56,0,7,23.55,9354609568656401157,9354609568656401157,48,0.25,false,0.3438,3.3648,0.9923,0.0156,0.3679,0.0156,1,64,0,0,366.1769,148.0912,2.4726
