# experiment P-156 (R-156)
# hypothesis: x42/M-359 measured shifted linear interpolation and found the recursive prefilter's non-locality bounded -- truncation at k >= 10 moves the root under 7.15e-7 cells on all eight fields -- so the chunk-locality objection is already retired empirically. Quasi-interpolation achieves full approximation order with a compactly supported prefilter, making locality exact rather than bounded (Blu & Unser, 10.1006/acha.1998.0249; the corpus holds only the landing page, so the construction must be taken from a freely available restatement and that source named in the finding). (C1) A compactly supported quasi-interpolant matches the truncated recursive prefilter's accuracy to within 5%. (C2) It is exactly chunk-local -- zero dependence outside the chunk, asserted structurally rather than measured. (C3) Chunk seams remain bit-exact where M-32 says they should be, and the golden hashes that move are counted, since any reconstruction change is a re-baseline. SHARE: C1 moves the vertex-interpolation stage, the crate's single most-executed operation.
# falsified by: C1 by above 5%, which would mean compactness costs accuracy and the truncated recursive filter is the better engineering answer. C2 by any external dependence, which would mean the quasi-interpolant was mis-constructed. C3 by loss of seam bit-exactness. VACUITY CONTROL: the truncated-recursive arm must reproduce x42's 7.15e-7 figure as a control, or the comparison has no baseline.
# commit 2181f83 on amd-ryzen-9-5900x-12-core at 2026-08-30T14:24:01Z
prefilter,support,field,root_position_error,hausdorff,prefilter_ms,chunk_local,seam_bit_exact,hashes_moved,vs_truncated_recursive,c1_holds,c2_holds,c3_holds,c1_decided_at_resolution,c1_excluded_exact_baseline,c1_fields_within_5pct,c1_population,cell_size,crossings_lost,edges_dropped_left_context,edges_measured,footprint_probe_outside,footprint_probe_skipped,footprint_probe_span,golden_hash_algorithms,golden_hash_fields,golden_hash_resolutions,golden_hash_rows,hausdorff_skip,hausdorff_vs_truncated,impulse_response,in_c1_population,is_control,m32_control_cell_size,m32_control_seam_bit_exact,m32_control_worst_delta_cells,mesh_min_bracket,moment_0,moment_1,moment_2,prefilter_ms_max,prefilter_ms_min,prefilter_repeats,ramp_root_error,read_depth_samples,residual_vs_whole_line_cells,resolution,root_position_error_max,sabotage_ramp_root_error,seam_local_bit_exact,seam_pairs,seam_sign_disagreements,seam_worst_delta_cells,standard_mesh_bit_identical,tau,within_5pct,x42_gyroid_k10_delta,x42_gyroid_relative_error,x42_torus_k10_delta,x42_torus_relative_error
recursive_whole_line,whole_line,box_exact,3.552714e-15,6.666667e-2,2.364320e-1,false,true,0,1.000000e0,false,true,false,65,box_exact,5,6,1.250000e-1,0,225,169,0,0,1,9,8,3,216,none,1.000000e0,iir,false,false,1.176471e-1,false,2.070455e-12,9,1.000000e0,-2.000000e-1,-1.200000e-1,2.395010e-1,2.358120e-1,5,0.000000e0,33,0.000000e0,33,3.552714e-15,4.615385e-2,true,225,0,0.000000e0,true,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_truncated_k10,11,box_exact,3.552714e-15,6.666667e-2,5.607250e-1,true,true,0,1.000000e0,false,true,false,65,box_exact,5,6,1.250000e-1,0,225,169,0,0,1,9,8,3,216,none,1.000000e0,fir,false,true,1.176471e-1,false,5.662137e-15,9,1.000000e0,-2.000000e-1,-1.200000e-1,5.656650e-1,5.597540e-1,5,6.008154e-7,11,0.000000e0,33,3.552714e-15,4.615385e-2,true,225,0,0.000000e0,true,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir2,2,box_exact,3.552714e-15,6.532438e-2,2.569820e-1,true,true,0,1.000000e0,false,true,false,65,box_exact,5,6,1.250000e-1,56,225,169,0,0,3,9,8,3,216,none,9.798658e-1,fir,false,false,1.176471e-1,false,1.887379e-15,9,1.000000e0,-2.000000e-1,-2.000000e-1,2.594120e-1,2.547920e-1,5,0.000000e0,4,0.000000e0,33,3.552714e-15,4.615385e-2,true,169,0,0.000000e0,true,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir3,3,box_exact,4.441156e-3,6.642526e-2,3.256930e-1,true,true,0,1.250074e12,false,true,false,65,box_exact,5,6,1.250000e-1,56,225,169,0,0,4,9,8,3,216,none,9.963789e-1,fir,false,false,1.176471e-1,false,1.887379e-15,9,1.000000e0,-2.000000e-1,-1.200000e-1,3.296430e-1,3.250820e-1,5,0.000000e0,5,4.441156e-3,33,8.333333e-3,4.615385e-2,true,169,0,0.000000e0,true,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
standard_trilinear,1,box_exact,7.105427e-15,7.216878e-2,1.204599e0,true,true,0,1.000000e0,false,true,false,65,box_exact,5,6,6.250000e-2,0,0,841,0,0,1,9,8,3,216,none,2.165064e0,fir,false,false,1.176471e-1,false,5.662137e-15,17,1.000000e0,0.000000e0,0.000000e0,1.208509e0,1.197599e0,5,0.000000e0,2,0.000000e0,65,7.105427e-15,4.615385e-2,true,0,0,0.000000e0,true,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_whole_line,whole_line,box_exact,7.105427e-15,3.333333e-2,1.999095e0,false,true,0,1.000000e0,false,true,false,65,box_exact,5,6,6.250000e-2,0,0,841,0,0,1,9,8,3,216,none,1.000000e0,iir,false,false,1.176471e-1,false,2.070455e-12,17,1.000000e0,-2.000000e-1,-1.200000e-1,2.006415e0,1.997675e0,5,0.000000e0,65,0.000000e0,65,7.105427e-15,4.615385e-2,true,0,0,0.000000e0,true,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_truncated_k10,11,box_exact,7.105427e-15,3.333333e-2,4.668115e0,true,true,0,1.000000e0,false,true,false,65,box_exact,5,6,6.250000e-2,0,0,841,0,0,1,9,8,3,216,none,1.000000e0,fir,false,true,1.176471e-1,false,5.662137e-15,17,1.000000e0,-2.000000e-1,-1.200000e-1,4.672105e0,4.661496e0,5,6.008154e-7,11,0.000000e0,65,7.105427e-15,4.615385e-2,true,0,0,0.000000e0,true,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir2,2,box_exact,7.105427e-15,3.266219e-2,2.194767e0,true,true,0,1.000000e0,false,true,false,65,box_exact,5,6,6.250000e-2,1081,0,841,0,0,3,9,8,3,216,none,9.798658e-1,fir,false,false,1.176471e-1,false,1.887379e-15,17,1.000000e0,-2.000000e-1,-2.000000e-1,2.216427e0,2.191126e0,5,0.000000e0,4,0.000000e0,65,7.105427e-15,4.615385e-2,true,0,0,0.000000e0,true,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir3,3,box_exact,3.041093e-3,3.321263e-2,2.541460e0,true,true,0,4.279959e11,false,true,false,65,box_exact,5,6,6.250000e-2,1081,0,841,0,0,4,9,8,3,216,none,9.963789e-1,fir,false,false,1.176471e-1,false,1.887379e-15,17,1.000000e0,-2.000000e-1,-1.200000e-1,2.556440e0,2.505759e0,5,0.000000e0,5,3.041093e-3,65,8.333333e-3,4.615385e-2,true,0,0,0.000000e0,true,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
standard_trilinear,1,csg_difference,2.304696e-2,NaN,1.252910e-1,true,false,0,2.041317e0,false,true,false,65,box_exact,5,6,1.250000e-1,0,225,159,0,0,1,9,8,3,216,bound_not_exact,NaN,fir,true,false,1.176471e-1,false,5.662137e-15,9,1.000000e0,0.000000e0,0.000000e0,1.291410e-1,1.245810e-1,5,0.000000e0,2,2.243086e-2,33,1.283192e-1,4.615385e-2,false,229,0,1.776357e-15,false,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
