# experiment P-77 (R-077)
# hypothesis: THE ONE MEASURED MITIGATION IN THIS AREA IS CHEAP AND THE PROBLEM IT MITIGATES HAS NEVER BEEN MEASURED UNDER DESTRUCTION. k-DOP clipping (10.1145/3681758.3697996) replaces TAA's axis-aligned neighbourhood clamp with a tighter k-discrete-oriented polytope at 0.2 ms overhead (GPU NOT NAMED IN THE ABSTRACT), and its framing is that prior bounding-box methods are 'only situationally effective'. Separately, Epic's account of virtual shadow maps in Fortnite says animated deformation invalidates shadow pages and that they ABANDONED CACHING FOR DIRECTIONAL SUN SHADOWS ENTIRELY -- with no invalidation cost published anywhere. This experiment measures the destruction half; P-79 measures the shadow half. (C1) In game_dig, the fraction of TAA history samples rejected in the frame after a brush stroke is at least 5x the steady-state rejection rate, and the elevated rate persists for at least 3 frames. (C2) k-DOP clipping recovers at least half the rejected samples at under 0.3 ms. (C3) The rejection is SPATIALLY CONCENTRATED at the brush, not global: over 80% of rejected samples fall within the brush's screen-space bounding box dilated by one dig radius. SHARE: C1 is a rate, not a ratio of a total; C2 moves the TAA resolve stage.
# falsified by: C1 by under 5x, or by a single-frame spike -- either means destruction is not a temporal problem, and this row and P-76's C2 close together. C2 by under half, which would mean the rejections are genuine disocclusions rather than clamp conservatism and no clipping scheme can help. C3 by under 80%, which would mean an edit disturbs the whole frame and a localised mitigation cannot work. VACUITY CONTROL: the steady-state arm must have a non-zero rejection rate, or the 5x ratio is division by a floor.
# commit a84f6c0 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-28T00:36:03Z
arm,stroke_rate_hz,steady_rejection_fraction,post_edit_rejection_fraction,ratio,frames_elevated,kdop_ms,kdop_recovered_fraction,rejected_in_brush_box,rejected_total,concentration_fraction,c1_holds,c2_holds,c3_holds,aabb_ms,albedo_detail,box_area_fraction,brushes_placed,c1_evaluable,camera_pitch_rad,camera_walk_units_per_s,camera_yaw_rad_per_s,clamp_ratio_dop_over_aabb,concentration_edit_attributable,control_rejected,control_rejected_in_box,control_rejection_fraction,cpu_mhz,fixture,frame_aabb_ms,frame_changed_outside_silhouette,frame_changed_pixels,frame_concentration_edit_attributable,frame_dop_ms,frame_extra_rejected_dop26_ycocg,frame_mean_clip_s_over_rejected,frame_mean_reproj_px,frame_offset,frame_recovered_dop26_rgb,frame_recovered_dop26_ycocg,frame_rejected,frame_rejected_aabb_rgb,frame_rejected_dop26_rgb,frame_rejected_dop26_ycocg,frame_rejected_half,frame_rejected_in_box,frame_rejection_fraction,height,held_button,kdop_ms_per_megapixel,kdop_recovered_fraction_rgb_axes,no_history,paired_frame_ratio,population,ratio_ceiling_from_footprint,taa_jitter,threads,width
dig_at_feet_static/frame_plus_4,12.5,0.00490399,0.01422016,2.8997,1,62.4722,0.00000000,4940,7348,0.672292,false,false,false,30.1542,true,0.09179126,1,true,-0.600,0.00,0.000,2.0718,1.000000,2788,171,0.00539537,4188,dig_at_feet_static,30.4928,0,5100,1.000000,62.5333,3363,0.798503,0.8688,4,39,0,3082,4609,10207,6445,345,465,0.00596433,540,false,120.5097,0.00435493,1587,1.1055,516739,2.9852,true,24,960
dig_at_feet_static/frame_plus_5,12.5,0.00490399,0.01422016,2.8997,1,62.4722,0.00000000,4940,7348,0.672292,false,false,false,30.1542,true,0.09179126,1,true,-0.600,0.00,0.000,2.0718,1.000000,2867,170,0.00554838,4188,dig_at_feet_static,30.2268,0,5110,1.000000,62.5996,3524,0.791296,0.6203,5,39,0,3154,4760,10337,6678,365,457,0.00610380,540,false,120.5097,0.00435493,1607,1.1001,516727,2.9852,true,24,960
dig_at_feet_static/frame_plus_6,12.5,0.00490399,0.01422016,2.8997,1,62.4722,0.00000000,4940,7348,0.672292,false,false,false,30.1542,true,0.09179126,1,true,-0.600,0.00,0.000,2.0718,1.000000,1563,114,0.00302473,4188,dig_at_feet_static,30.1739,0,5106,1.000000,62.5422,2876,0.799569,0.2429,6,27,0,1810,3486,7839,4686,227,361,0.00350273,540,false,120.5097,0.00435493,1590,1.1580,516740,2.9852,true,24,960
dig_at_feet_static/frame_plus_7,12.5,0.00490399,0.01422016,2.8997,1,62.4722,0.00000000,4940,7348,0.672292,false,false,false,30.1542,true,0.09179126,1,true,-0.600,0.00,0.000,2.0718,1.000000,2257,135,0.00436781,4188,dig_at_feet_static,30.3354,0,5103,1.000000,62.7390,2930,0.782693,0.4951,7,32,0,2595,3939,8713,5525,358,473,0.00502192,540,false,120.5097,0.00435493,1599,1.1498,516735,2.9852,true,24,960
dig_at_feet_static/frame_plus_8,12.5,0.00490399,0.01422016,2.8997,1,62.4722,0.00000000,4940,7348,0.672292,false,false,false,30.1542,true,0.09179126,1,true,-0.600,0.00,0.000,2.0718,1.000000,2455,143,0.00475094,4188,dig_at_feet_static,30.1753,0,5096,1.000000,62.7045,3099,0.779964,0.6203,8,23,0,2789,4144,9073,5888,393,477,0.00539730,540,false,120.5097,0.00435493,1595,1.1360,516740,2.9852,true,24,960
dig_at_feet_static/frame_plus_9,12.5,0.00490399,0.01422016,2.8997,1,62.4722,0.00000000,4940,7348,0.672292,false,false,false,30.1542,true,0.09179126,1,true,-0.600,0.00,0.000,2.0718,1.000000,2496,165,0.00483025,4188,dig_at_feet_static,30.1711,0,5103,1.000000,62.6262,3200,0.780448,0.4951,9,46,0,2822,4301,9570,6022,394,491,0.00546113,540,false,120.5097,0.00435493,1584,1.1306,516743,2.9852,true,24,960
dig_at_feet_static/frame_plus_10,12.5,0.00490399,0.01422016,2.8997,1,62.4722,0.00000000,4940,7348,0.672292,false,false,false,30.1542,true,0.09179126,1,true,-0.600,0.00,0.000,2.0718,1.000000,2827,169,0.00547093,4188,dig_at_feet_static,30.2104,0,5098,1.000000,62.5689,3289,0.776339,0.9458,10,36,0,3136,4489,9935,6425,441,478,0.00606892,540,false,120.5097,0.00435493,1608,1.1093,516731,2.9852,true,24,960
dig_at_feet_static/frame_plus_11,12.5,0.00490399,0.01422016,2.8997,1,62.4722,0.00000000,4940,7348,0.672292,false,false,false,30.1542,true,0.09179126,1,true,-0.600,0.00,0.000,2.0718,1.000000,2702,198,0.00522885,4188,dig_at_feet_static,30.4353,0,5105,1.000000,62.6500,3391,0.786787,0.4951,11,35,0,2999,4589,10114,6390,381,495,0.00580360,540,false,120.5097,0.00435493,1582,1.1099,516748,2.9852,true,24,960
dig_at_feet_walk_held/steady_window,12.5,0.86644885,0.86971703,1.0038,0,62.5362,0.00000000,39723,449842,0.088304,false,false,false,29.2648,true,0.15849322,3,true,-0.600,2.50,0.250,2.1369,NA,NA,NA,NA,4188,dig_at_feet_walk_held,362.0937,0,0,NA,0.0000,342587,0.566452,7.2424,NA,984128,0,5370840,2866658,4849837,5713427,2316505,591541,0.86644885,540,true,120.6332,0.17634858,19922,NA,6198681,1.0093,true,24,960
dig_at_feet_walk_held/post_edit_window,12.5,0.86644885,0.86971703,1.0038,0,62.5362,0.00000000,39723,449842,0.088304,false,false,false,29.2648,true,0.15849322,3,true,-0.600,2.50,0.250,2.1369,NA,5370840,591541,0.86644885,4188,dig_at_feet_walk_held,350.9414,0,83585,NA,0.0000,344597,0.564852,7.2373,NA,954126,0,5318879,2872962,4832650,5663476,2319682,539580,0.85806626,540,true,120.6332,0.17634858,19922,0.9903,6198681,1.0093,true,24,960
