# experiment P-174 (R-174)
# hypothesis: The crate's curvature estimation is the normal-cycles line -- Sun & Morvan, cited in benches/experiment_p42.rs and p45.rs. Discrete varifolds (Buet, Leonardi & Masnou, 10.1007/s00205-017-1141-0, acquired and converted this session) are the rival, with quantitative convergence bounds. This is registered as a head-to-head expecting a null, because a mature estimator is rarely beaten by a newer formalism on the same data. (C1) Varifold mean curvature is compared against the normal-cycle estimator at matched cost on the analytic fields, where exact curvature is known. (C2) The convergence exponent is fitted for both, since a method that is worse at our resolutions but converges faster is a different recommendation from one that is simply worse. SHARE: C1 moves the curvature stage only, whose share must be reported.
# falsified by: C1 by varifolds winning, which would be a real result and would redirect the P-42/P-45 line. C2 by indistinguishable exponents, which would make the choice purely about constants. VACUITY CONTROL: both estimators must be run against the analytic curvature on sphere and torus and reproduce it, or neither is calibrated.
# commit c3cb940 on amd-ryzen-9-5900x-12-core at 2026-08-30T09:31:11Z
estimator,field,resolution,mean_curvature_error,gaussian_curvature_error,error_ratio,estimator_ms,cost_ratio,convergence_exponent,c1_holds,c2_holds,boundary_edges,c1_holds_global,c2_holds_global,cell_size,cost_matched,curvature_share,eps,eps_over_h,estimator_ms_max,estimator_ms_min,estimator_ms_scatter,exponent_gap,exponent_gap_sigma,exponent_stderr,extract_ms,gaussian_exponent,global_defect_exact,global_defect_measured,global_int_h_exact,global_int_h_measured,global_int_h_rel_error,h_exact_rms,k_exact_rms,k_negative_vertices,k_positive_vertices,k_zero_exact_vertices,mesh_area,nc_star_gaussian_error,nc_star_mean_error,non_manifold_edges,normal_alignment,repeats,smooth_only_mean_error,support_triangles_mean,triangles,used_vertices,varifold_h_shape_error,vertices,zero_length_sides
normal_cycles,capsule,33,8.977669e-2,2.008922e-1,1.038899,1.3168,0.494540,0.173820,true,false,0,false,false,0.125000000,false,0.723607,0.282842712,2.262742,1.3971,1.2995,1.075137,0.029229,0.322316,0.070825,0.5030,0.160992,12.566370614,12.566370614,9.456193887,9.408774659,5.014621e-3,1.633180,3.044406,0,266,252,6.037274,4.261269e-1,2.685504e-1,0,0.999833250,5,1.693961e-2,43.672,1032,518,9.138459e-2,518,0
varifold,capsule,33,9.326892e-2,2.070867e-1,1.038899,0.6512,0.494540,0.203049,true,false,0,false,false,0.125000000,false,0.564218,0.282842712,2.262742,0.6723,0.6381,1.053659,0.029229,0.322316,0.056634,0.5030,0.183454,12.566370614,12.566370614,9.456193887,9.408774659,5.014621e-3,1.633180,3.044406,0,266,252,6.037274,4.261269e-1,2.685504e-1,0,0.999833250,5,2.946170e-2,43.672,1032,518,9.138459e-2,518,0
normal_cycles,capsule,47,8.344149e-2,1.907982e-1,1.052396,3.9102,0.521095,0.173820,true,false,0,false,false,0.086956522,true,0.721795,0.235907130,2.712932,3.9253,3.9037,1.005533,0.029229,0.322316,0.070825,1.5071,0.160992,12.566370614,12.566370614,9.456193887,9.433194052,2.432251e-3,1.633006,3.043841,0,554,572,6.076283,4.425755e-1,4.022359e-1,0,0.999900611,5,1.001286e-2,65.732,2248,1126,8.463568e-2,1126,0
varifold,capsule,47,8.781353e-2,1.925316e-1,1.052396,2.0376,0.521095,0.203049,true,false,0,false,false,0.086956522,true,0.574824,0.235907130,2.712932,2.0485,2.0335,1.007347,0.029229,0.322316,0.056634,1.5071,0.183454,12.566370614,12.566370614,9.456193887,9.433194052,2.432251e-3,1.633006,3.043841,0,554,572,6.076283,4.425755e-1,4.022359e-1,0,0.999900611,5,2.370021e-2,65.732,2248,1126,8.463568e-2,1126,0
normal_cycles,capsule,65,9.151523e-2,2.103846e-1,1.000821,9.3278,0.527626,0.173820,true,false,0,false,false,0.062500000,true,0.735140,0.200000000,3.200000,9.3345,9.3217,1.001372,0.029229,0.322316,0.070825,3.3607,0.160992,12.566370614,12.566370614,9.456193887,9.444170311,1.271503e-3,1.604786,2.951860,0,1002,1140,6.093916,4.479181e-1,2.927471e-1,0,0.999892021,5,4.917484e-3,89.055,4280,2142,9.237177e-2,2142,0
varifold,capsule,65,9.159032e-2,2.131507e-1,1.000821,4.9216,0.527626,0.203049,true,false,0,false,false,0.062500000,true,0.594233,0.200000000,3.200000,4.9494,4.9166,1.006690,0.029229,0.322316,0.056634,3.3607,0.183454,12.566370614,12.566370614,9.456193887,9.444170311,1.271503e-3,1.604786,2.951860,0,1002,1140,6.093916,4.479181e-1,2.927471e-1,0,0.999892021,5,1.497434e-2,89.055,4280,2142,9.237177e-2,2142,0
normal_cycles,capsule,91,7.308127e-2,1.662896e-1,1.028691,24.0227,0.563546,0.173820,true,false,0,false,false,0.044444444,true,0.761982,0.168654809,3.794733,24.1065,24.0076,1.004118,0.029229,0.322316,0.070825,7.5039,0.160992,12.566370614,12.566370614,9.456193887,9.450174502,6.365547e-4,1.643975,3.079275,0,2162,2100,6.103359,4.485691e-1,3.077648e-1,0,0.999959835,5,3.468361e-3,128.345,8520,4262,7.306286e-2,4262,0
varifold,capsule,91,7.517806e-2,1.657672e-1,1.028691,13.5379,0.563546,0.203049,true,false,0,false,false,0.044444444,true,0.643381,0.168654809,3.794733,13.6890,13.5284,1.011871,0.029229,0.322316,0.056634,7.5039,0.183454,12.566370614,12.566370614,9.456193887,9.450174502,6.365547e-4,1.643975,3.079275,0,2162,2100,6.103359,4.485691e-1,3.077648e-1,0,0.999959835,5,1.240943e-2,128.345,8520,4262,7.306286e-2,4262,0
normal_cycles,capsule,129,7.114255e-2,1.631125e-1,0.998923,66.1765,0.574754,0.173820,false,false,0,false,false,0.031250000,true,0.759366,0.141421356,4.525483,66.2727,66.0881,1.002793,0.029229,0.322316,0.070825,20.9706,0.160992,12.566370614,12.566370614,9.456193887,9.453192066,3.174450e-4,1.621957,3.007973,0,4178,4588,6.108135,4.463965e-1,3.281685e-1,0,0.999971467,5,1.692471e-3,181.180,17528,8766,7.103320e-2,8766,0
varifold,capsule,129,7.106592e-2,1.627757e-1,0.998923,38.0352,0.574754,0.203049,false,false,0,false,false,0.031250000,true,0.644601,0.141421356,4.525483,39.1581,38.0099,1.030209,0.029229,0.322316,0.056634,20.9706,0.183454,12.566370614,12.566370614,9.456193887,9.453192066,3.174450e-4,1.621957,3.007973,0,4178,4588,6.108135,4.463965e-1,3.281685e-1,0,0.999971467,5,7.383666e-3,181.180,17528,8766,7.103320e-2,8766,0
