csg_difference,65,262144,1572864,1872064,26381,16140,11245,0,1.967635,3359,true,true,true,false,4895,false,4.065795,4.034352,1.967635,1.982970,true,0.062500000,246004,3330825,true,0,6,8,26339,1335489,false,250047,3,2,1.732051e-12,6.506434e-13,0,18030,6.296937e-16,2,186.300610,false,12020,0.000000e0,3758,9051,0.061569214,0.014091933,26381,26381,13572,0,412,3,109464111,58.47,1.871623,274625,true,811200,262144,1872064,798720,1e-12,coef*max(|f(a)|;|f(b)|),1.082532e-1,1131611
csg_difference,129,2097152,12582912,14827904,105203,67104,47497,0,1.967635,12507,true,true,true,false,19607,false,4.065795,4.034352,1.967635,1.982970,true,0.031250000,2030048,28728415,true,0,6,8,105056,10584449,false,2048383,3,2,1.732051e-12,6.360983e-13,0,74748,1.602694e-16,9,167.322203,false,49832,0.000000e0,14955,36105,0.031997681,0.007094934,105203,105203,54143,0,2216,5,867683533,58.52,1.924177,2146689,true,6390144,2097152,14827904,6340608,1e-12,coef*max(|f(a)|;|f(b)|),5.412659e-2,8676844
thin_plate,33,32768,196608,238688,5478,3277,3021,0,1.967635,236,true,true,true,true,256,false,4.065795,4.034352,1.967635,1.982970,true,0.125000000,29491,356553,true,0,6,8,5478,170081,true,29791,3,2,2.439294e-12,1.227034e-12,0,1524,3.469447e-30,0,154.855643,false,1016,0.000000e0,225,2095,0.100006104,0.022950463,5478,5478,3158,0,0,0,12667325,53.07,0.000000,35937,true,104544,32768,238688,101376,1e-12,coef*max(|f(a)|;|f(b)|),1.250000e-1,105742
thin_plate,65,262144,1572864,1872064,21702,13693,12669,0,1.967635,492,true,true,true,true,1024,false,4.065795,4.034352,1.967635,1.982970,true,0.062500000,248451,2683810,true,0,6,8,21702,1335489,true,250047,3,2,2.439294e-12,1.196820e-12,0,6132,3.469447e-30,0,80.234834,false,4088,0.000000e0,961,8287,0.052234650,0.011592552,21702,21702,12454,0,0,0,99313434,53.05,1.914555,274625,true,811200,262144,1872064,798720,1e-12,coef*max(|f(a)|;|f(b)|),6.250000e-2,782366
thin_plate,129,2097152,12582912,14827904,86406,56029,51933,0,1.967635,1004,true,true,true,true,4096,false,4.065795,4.034352,1.967635,1.982970,true,0.031250000,2041123,23771568,true,0,6,8,86406,10584449,true,2048383,3,2,2.439294e-12,1.181736e-12,0,24564,0.000000e0,0,40.872822,false,16376,0.000000e0,3969,32959,0.026716709,0.005827257,86406,86406,49478,0,0,0,787334081,53.10,1.955130,2146689,true,6390144,2097152,14827904,6340608,1e-12,coef*max(|f(a)|;|f(b)|),3.125000e-2,6010942
gyroid,33,32768,196608,238688,30757,15328,4659,0,1.967635,12622,true,true,true,false,10669,false,4.065795,4.034352,1.967635,1.982970,true,0.437500000,17440,2259957,true,0,6,8,30262,170081,false,29791,3,2,6.124356e-12,1.672581e-12,1,15943,1.465830e-13,6,791.695415,true,10632,5.969263e-3,8595,5983,0.467773438,0.128858594,30757,30757,16179,0,394,173,19911659,83.42,0.000000,35937,true,104544,32768,238688,101376,1e-12,coef*max(|f(a)|;|f(b)|),7.577722e-1,8882
gyroid,65,262144,1572864,1872064,126094,85051,35685,0,1.967635,52481,true,true,true,false,49366,false,4.065795,4.034352,1.967635,1.982970,true,0.218750000,177093,14062236,true,0,6,8,125305,1335489,false,250047,3,2,6.124356e-12,1.576676e-12,1,64669,1.137163e-13,6,811.532574,true,43116,9.992668e-4,34866,24742,0.324443817,0.067355603,126094,126094,66486,0,1608,373,148381842,79.26,1.441770,274625,true,811200,262144,1872064,798720,1e-12,coef*max(|f(a)|;|f(b)|),3.788861e-1,34650
gyroid,129,2097152,12582912,14827904,509017,418576,200058,0,1.967635,212739,true,true,true,false,218518,false,4.065795,4.034352,1.967635,1.982970,true,0.109375000,1678576,105176999,true,0,6,8,507787,10584449,false,2048383,3,2,6.124356e-12,1.526762e-12,1,260077,5.313898e-14,0,817.984674,true,173388,2.470012e-4,140493,100210,0.199592590,0.034328318,509017,509017,268314,0,7122,928,1158547604,78.13,1.625530,2146689,true,6390144,2097152,14827904,6340608,1e-12,coef*max(|f(a)|;|f(b)|),1.894431e-1,135864
fbm_terrain,33,32768,196608,238688,75709,31712,2624,0,1.967635,4809,true,true,true,false,29088,false,4.065795,4.034352,1.967635,1.982970,true,0.500000000,1056,6788331,true,0,6,8,64942,170081,true,29791,3,2,9.492358e-12,4.272945e-12,0,6014,2.277246e-13,0,799.634187,true,3946,5.932826e-3,31977,10656,0.967773438,0.317188128,75709,75709,33076,0,0,0,35823908,150.09,0.000000,35937,true,104544,32768,238688,101376,1e-12,coef*max(|f(a)|;|f(b)|),1.042407e0,0
fbm_terrain,65,262144,1572864,1872064,449228,236992,44928,0,1.967635,19964,true,true,true,false,192064,false,4.065795,4.034352,1.967635,1.982970,true,0.250000000,25152,49977185,true,0,6,8,417298,1335489,true,250047,3,2,9.621357e-12,4.152880e-12,0,25521,7.275794e-14,0,782.257749,true,16884,8.375597e-4,186485,70016,0.904052734,0.239964018,449228,449228,192727,0,0,0,281370009,150.30,1.070483,274625,true,811200,262144,1872064,798720,1e-12,coef*max(|f(a)|;|f(b)|),5.020881e-1,0
fbm_terrain,129,2097152,12582912,14827904,2070592,1526016,507264,0,1.967635,79583,true,true,true,false,1018752,false,4.065795,4.034352,1.967635,1.982970,true,0.125000000,571136,385496631,true,0,6,8,2023963,10584449,true,2048383,3,2,9.621357e-12,4.088106e-12,0,104092,2.302201e-14,0,764.544826,true,69132,6.078820e-5,857463,329472,0.727661133,0.139641584,2070592,2070592,883657,0,0,0,2222229874,149.87,1.242409,2146689,true,6390144,2097152,14827904,6340608,1e-12,coef*max(|f(a)|;|f(b)|),1.699103e-1,0
noise_cavity,33,32768,196608,238688,31950,11428,3048,0,1.967635,14814,true,true,true,false,8380,false,4.065795,4.034352,1.967635,1.982970,true,0.125000000,21340,2832241,true,0,6,8,28434,170081,false,29791,3,2,1.964102e-12,6.155724e-13,20,19771,1.943451e-13,0,749.279247,true,13236,2.335570e-3,9888,6031,0.348754883,0.133856750,31950,31950,16031,0,356,429,20080861,84.13,0.000000,35937,true,104544,32768,238688,101376,1e-12,coef*max(|f(a)|;|f(b)|),1.295590e0,12721
noise_cavity,65,262144,1572864,1872064,156090,65859,15403,0,1.967635,67120,true,true,true,false,50456,false,4.065795,4.034352,1.967635,1.982970,true,0.062500000,196285,18000515,true,0,6,8,150041,1335489,false,250047,3,2,1.964102e-12,5.850723e-13,20,87077,1.094081e-13,4,770.812040,true,58112,7.728452e-4,48325,30774,0.251232147,0.083378560,156090,156090,76991,0,1822,864,155161554,82.88,1.388178,274625,true,811200,262144,1872064,798720,1e-12,coef*max(|f(a)|;|f(b)|),5.453397e-1,49475
noise_cavity,129,2097152,12582912,14827904,668578,374897,110984,0,1.967635,279285,true,true,true,false,263913,false,4.065795,4.034352,1.967635,1.982970,true,0.031250000,1722255,133176609,true,0,6,8,660649,10584449,false,2048383,3,2,1.964102e-12,5.680286e-13,21,358526,5.729178e-14,10,778.981162,true,239084,5.828489e-5,206933,133845,0.178764820,0.045089178,668578,668578,327800,0,7902,1706,1216298343,82.03,1.405378,2146689,true,6390144,2097152,14827904,6340608,1e-12,coef*max(|f(a)|;|f(b)|),1.579546e-1,195188
