field,resolution,scalar,cells,sign_disagreements_f32,sign_disagreements_f64,disagreement_rate,exact_ms,float_ms,overhead_ratio,filtered_fallback_rate,triangles_changed,nonmanifold_delta,c1_holds,c2_holds,c3_holds,ambiguous_cell_rate,ambiguous_cells,below_bound_this_scalar,below_f32_error_bound,below_f64_error_bound,c1_row,c2_aggregate_f32,c2_aggregate_f64,c2_aggregate_ratio,c2_row,c3_row,case_index_disagreements,disc_sign_cells_changed,exact_max_ms,exact_min_ms,exact_negative,exact_positive,exact_terms,exact_zero,extract_max_ms,extract_min_ms,extract_ms,extract_repeats,f64_is_the_corrected_arm,fields_disagreeing_f32,fields_disagreeing_names,filter_certified_wrong,filter_depth_u,filter_fallbacks,filter_relative_bound,float_max_ms,float_min_ms,grid_cells,hexagon_cells_changed,inside_mask_cells_changed,joined_mask_cells_changed,max_abs_corner,min_abs_nonzero_corner,nonfinite_deltas,nonmanifold_edges_f32,nonmanifold_edges_f64,overhead_ratio_scatter,repeats,saddle_share,saddle_stage_ms,saddle_stage_scatter,samples_per_axis,sign_disagreements_f32_ambiguous,surface_cell_rate,triangles_f32,triangles_f64
csg_difference,65x65x65,f32,6014,14,1,0.002327902,1.782724,0.014100,126.434326,0.871300299,0,0,true,false,true,0.000000000,0,5240,5240,5032,true,73.915085,31.808681,54.278948,false,false,0,13,1.792724,1.779904,54,928,12,5032,6.801474,6.664102,6.667683,3,false,2,csg_difference|fbm_terrain,0,26.0,5240,1.549721e-6,0.016930,0.013590,262144,0,29,0,1.732051e0,2.083044e-4,0,0,0,0.244071,9,0.000438,0.002920,0.246575,65,0,0.022941589,12020,12020
csg_difference,65x65x65,f64,6014,14,1,0.000166279,1.609533,0.012290,130.962815,0.836714333,0,0,true,false,true,0.000000000,0,5032,5240,5032,true,73.915085,31.808681,54.278948,false,false,0,13,1.615053,1.606083,54,928,12,5032,6.498842,6.463511,6.487221,3,false,2,csg_difference|fbm_terrain,0,26.0,5032,2.886580e-15,0.012690,0.012030,262144,0,29,0,1.732051e0,2.083044e-4,0,0,0,0.059275,9,0.000345,0.002240,0.651786,65,0,0.022941589,12020,12020
csg_difference,129x129x129,f32,24920,33,0,0.001324238,7.886882,0.057670,136.758835,0.895826645,0,0,true,false,true,0.000000000,0,22324,22324,20875,true,73.915085,31.808681,54.278948,false,false,0,33,7.973873,7.875342,117,3928,12,20875,53.621644,50.331527,50.580259,3,true,2,csg_difference|fbm_terrain,0,26.0,22324,1.549721e-6,0.060830,0.057190,2097152,0,64,0,1.732051e0,5.208514e-5,0,0,0,0.075611,9,0.000235,0.011900,0.060504,129,0,0.011882782,49832,49832
csg_difference,129x129x129,f64,24920,33,0,0.000000000,6.659242,0.049891,133.475817,0.837680578,0,0,true,false,true,0.000000000,0,20875,22324,20875,false,73.915085,31.808681,54.278948,false,false,0,33,6.697073,6.653582,117,3928,12,20875,50.245547,48.624443,48.714925,3,true,2,csg_difference|fbm_terrain,0,26.0,20875,2.886580e-15,0.050561,0.049561,2097152,0,64,0,1.732051e0,5.208514e-5,0,0,0,0.026575,9,0.000189,0.009231,0.645651,129,0,0.011882782,49832,49832
thin_plate,33x33x33,f32,512,0,0,0.000000000,0.286653,0.001190,240.884874,0.984375000,0,0,true,false,true,0.000000000,0,504,504,504,false,73.915085,31.808681,54.278948,false,false,0,0,0.308733,0.285932,0,8,12,504,0.837567,0.832397,0.834926,3,true,2,csg_difference|fbm_terrain,0,26.0,504,1.549721e-6,0.001260,0.001180,32768,0,2,0,2.439294e0,1.250000e-2,0,0,0,0.146769,9,0.000323,0.000270,0.259259,33,0,0.015625000,1016,1016
thin_plate,33x33x33,f64,512,0,0,0.000000000,0.288203,0.001050,274.479048,0.984375000,0,0,true,false,true,0.000000000,0,504,504,504,false,73.915085,31.808681,54.278948,false,false,0,0,0.308143,0.286652,0,8,12,504,0.813637,0.791136,0.794216,3,true,2,csg_difference|fbm_terrain,0,26.0,504,2.886580e-15,0.001130,0.001010,32768,0,2,0,2.439294e0,1.250000e-2,0,0,0,0.188855,9,0.000290,0.000230,0.695652,33,0,0.015625000,1016,1016
thin_plate,65x65x65,f32,2048,0,0,0.000000000,1.157909,0.004680,247.416453,0.996093750,0,0,true,false,true,0.000000000,0,2040,2040,2040,false,73.915085,31.808681,54.278948,false,false,0,0,1.171890,1.156439,0,8,12,2040,6.195729,6.053157,6.067828,3,true,2,csg_difference|fbm_terrain,0,26.0,2040,1.549721e-6,0.005110,0.004650,262144,0,0,0,2.439294e0,1.250000e-2,0,0,0,0.111634,9,0.000165,0.001000,0.080000,65,0,0.007812500,4088,4088
thin_plate,65x65x65,f64,2048,0,0,0.000000000,1.156219,0.004090,282.694132,0.996093750,0,0,true,false,true,0.000000000,0,2040,2040,2040,false,73.915085,31.808681,54.278948,false,false,0,0,1.165689,1.153539,0,8,12,2040,5.865786,5.814976,5.817796,3,true,2,csg_difference|fbm_terrain,0,26.0,2040,2.886580e-15,0.004320,0.003990,262144,0,0,0,2.439294e0,1.250000e-2,0,0,0,0.091193,9,0.000089,0.000520,0.980769,65,0,0.007812500,4088,4088
thin_plate,129x129x129,f32,8192,0,0,0.000000000,4.800298,0.018930,253.581511,0.999023438,0,0,true,false,true,0.000000000,0,8184,8184,8184,false,73.915085,31.808681,54.278948,false,false,0,0,4.847138,4.781288,0,8,12,8184,49.831843,47.112342,47.182882,3,true,2,csg_difference|fbm_terrain,0,26.0,8184,1.549721e-6,0.019090,0.018370,2097152,0,0,0,2.439294e0,1.250000e-2,0,0,0,0.051753,9,0.000084,0.003970,0.020151,129,0,0.003906250,16376,16376
thin_plate,129x129x129,f64,8192,0,0,0.000000000,4.768088,0.016980,280.806125,0.999023438,0,0,true,false,true,0.000000000,0,8184,8184,8184,false,73.915085,31.808681,54.278948,false,false,0,0,4.842098,4.764648,0,8,12,8184,46.674668,45.364348,45.393488,3,true,2,csg_difference|fbm_terrain,0,26.0,8184,2.886580e-15,0.020300,0.016560,2097152,0,0,0,2.439294e0,1.250000e-2,0,0,0,0.236503,9,0.000067,0.003060,0.647059,129,0,0.003906250,16376,16376
