# experiment P-122 (R-122)
# hypothesis: STREAM VBYTE KEEPS A DENSE CONTROL STREAM AND A VARIABLE-LENGTH DATA STREAM SEPARATE SO THE DECODER NEVER BRANCHES ON PAYLOAD, AND ONLY THE LAYOUT TRANSFERS HERE. What this registration must state: Stream VByte's 4 billion integers per second on a 3.4 GHz Haswell is the SIMD path, so that figure is NOT A COMPARAND for a scalar arm and must not be scored against. (C1) Splitting the per-cell case index into a dense control stream and the variable-length vertex payload into a second stream REDUCES BRANCH MISPREDICTIONS PER CELL. (C2) Total instructions per cell rise by no more than 10%. (C3) Identical mesh. INSTRUMENT: common::counters::Probe's BRANCH_MISSES; refuse and exit(1) off Linux, because it is the only instrument that can see the quantity C1 is about. SHARE: C1 is a per-cell counter ratio rather than a fraction of extraction time, and C2 is a cost bound -- so no time claim is made and x51's bar does not apply. Whether a misprediction reduction is worth anything in wall time is a question this row deliberately does not answer.
# falsified by: C1 by no branch-misprediction reduction, measured with counters on Linux. C2 by instructions per cell rising more than 10%, which would mean the split pays for itself in the other currency. C3 by any mesh difference. VACUITY CONTROL: branch_misses_per_cell_single must be NON-ZERO on the single-stream arm, or there is no misprediction to remove and the ratio is division by a floor.
# commit 8098ba4 on amd-ryzen-9-5900x-12-core at 2026-08-29T00:50:29Z
field,resolution,arm,branch_misses_per_cell_single,branch_misses_per_cell_split,branch_miss_ratio,instructions_per_cell_single,instructions_per_cell_split,instruction_ratio,mesh_identical,c1_holds,c2_holds,c3_holds,active_fraction,best_branch_miss_ratio,branch_miss_ratio_rep_best,branch_miss_ratio_rep_worst,branch_miss_ratio_single_first,branch_miss_ratio_split_first,branch_misses_per_cell,c1_holds_all_rows,c2_holds_all_rows,c3_holds_all_rows,cache_misses_per_cell,cells,control_stream_bytes,count_ones_calls_per_cell_single,count_ones_calls_per_cell_split,cycles_per_cell,emitting_cells,extra_branch_misses_per_pass,extra_branch_misses_per_x_row,extractor,gather_calls_ratio,gather_calls_single,gather_calls_split,ghz,inner_reps,instruction_ratio_rep_spread,instructions_per_cell,ipc,l1d_read_misses_per_cell,mesh_identical_to_shipped,ns_per_cell,payload_length_table_bytes,reps,rows_reducing_branch_misses,rows_total,scalar,target_feature_popcnt,triangles,vertices,worst_branch_miss_ratio,worst_instruction_ratio,x_rows
box_exact,129,single_stream,0.010045,0.017921,1.784051,123.1743,106.3484,0.863397,true,false,true,true,0.011356,1.001214,1.777362,1.788212,1.784535,1.783799,0.010045,false,true,true,0.018987,2097152,2097152,0,0,30.6127,23816,16516.7,1.0081,marching_cubes,1.011356,2097152,2120968,4.1804,7,0.000000,123.1743,4.0236,0.153619,true,7.322882,256,16,0,16,f32,false,47624,23814,1.983313,0.970606,16384
box_exact,129,split_stream,0.010045,0.017921,1.784051,123.1743,106.3484,0.863397,true,false,true,true,0.011356,1.001214,1.777362,1.788212,1.784535,1.783799,0.017921,false,true,true,0.019924,2097152,2097152,0,0,24.5433,23816,16516.7,1.0081,marching_cubes,1.011356,2097152,2120968,4.1812,7,0.000000,106.3484,4.3331,0.205378,true,5.869870,256,16,0,16,f32,false,47624,23814,1.983313,0.970606,16384
csg_difference,129,single_stream,0.010975,0.018863,1.718677,124.2577,107.4780,0.864961,true,false,true,true,0.011883,1.001214,1.681836,1.744567,1.728925,1.712351,0.010975,false,true,true,0.020740,2097152,2097152,0,0,30.9970,24920,16542.0,1.0096,marching_cubes,1.011883,2097152,2122072,4.1823,7,0.000000,124.2577,4.0087,0.154619,true,7.411554,256,16,0,16,f32,false,49832,24918,1.983313,0.970606,16384
csg_difference,129,split_stream,0.010975,0.018863,1.718677,124.2577,107.4780,0.864961,true,false,true,true,0.011883,1.001214,1.681836,1.744567,1.728925,1.712351,0.018863,false,true,true,0.021201,2097152,2097152,0,0,24.8648,24920,16542.0,1.0096,marching_cubes,1.011883,2097152,2122072,4.1818,7,0.000000,107.4780,4.3225,0.207668,true,5.945980,256,16,0,16,f32,false,49832,24918,1.983313,0.970606,16384
thin_plate,129,single_stream,0.008008,0.015883,1.983313,119.6579,102.1763,0.853904,true,false,true,true,0.003906,1.001214,1.977396,1.989193,1.984725,1.982940,0.008008,false,true,true,0.006717,2097152,2097152,0,0,28.1862,8192,16514.1,1.0079,marching_cubes,1.003906,2097152,2105344,4.1811,8,0.000000,119.6579,4.2453,0.137044,true,6.741316,256,16,0,16,f32,false,16376,8190,1.983313,0.970606,16384
thin_plate,129,split_stream,0.008008,0.015883,1.983313,119.6579,102.1763,0.853904,true,false,true,true,0.003906,1.001214,1.977396,1.989193,1.984725,1.982940,0.015883,false,true,true,0.007072,2097152,2097152,0,0,22.0407,8192,16514.1,1.0079,marching_cubes,1.003906,2097152,2105344,4.1810,8,0.000000,102.1763,4.6358,0.169170,true,5.271624,256,16,0,16,f32,false,16376,8190,1.983313,0.970606,16384
gyroid,129,single_stream,0.079417,0.087076,1.096432,157.1345,141.0248,0.897478,true,false,true,true,0.041285,1.001214,1.087015,1.101270,1.097607,1.097270,0.079417,false,true,true,0.064566,2097152,2097152,0,0,47.9683,86580,16060.8,0.9803,marching_cubes,1.041285,2097152,2183732,4.1799,5,0.000000,157.1345,3.2758,0.218938,true,11.475923,256,16,0,16,f32,false,173388,86682,1.983313,0.970606,16384
gyroid,129,split_stream,0.079417,0.087076,1.096432,157.1345,141.0248,0.897478,true,false,true,true,0.041285,1.001214,1.087015,1.101270,1.097607,1.097270,0.087076,false,true,true,0.065066,2097152,2097152,0,0,41.5314,86580,16060.8,0.9803,marching_cubes,1.041285,2097152,2183732,4.1826,5,0.000000,141.0248,3.3956,0.307621,true,9.929516,256,16,0,16,f32,false,173388,86682,1.983313,0.970606,16384
fbm_terrain,129,single_stream,0.039370,0.047202,1.198953,177.4085,160.0490,0.902150,true,false,true,true,0.016470,1.001214,1.181276,1.203428,1.203040,1.198694,0.039370,false,true,true,0.024324,2097152,2097152,0,0,45.8372,34540,16426.4,1.0026,marching_cubes,1.016470,2097152,2131692,4.1804,5,0.000000,177.4085,3.8704,0.167796,true,10.964873,256,16,0,16,f32,false,69132,34961,1.983313,0.970606,16384
fbm_terrain,129,split_stream,0.039370,0.047202,1.198953,177.4085,160.0490,0.902150,true,false,true,true,0.016470,1.001214,1.181276,1.203428,1.203040,1.198694,0.047202,false,true,true,0.027189,2097152,2097152,0,0,39.7833,34540,16426.4,1.0026,marching_cubes,1.016470,2097152,2131692,4.1819,5,0.000000,160.0490,4.0230,0.212738,true,9.513253,256,16,0,16,f32,false,69132,34961,1.983313,0.970606,16384
noise_cavity,129,single_stream,0.107940,0.115452,1.069592,216.4061,202.6261,0.936323,true,false,true,true,0.056689,1.001214,1.055789,1.090584,1.072718,1.068821,0.107940,false,true,true,0.065935,2097152,2097152,0,0,61.4425,118885,15753.2,0.9615,marching_cubes,1.056689,2097152,2216037,4.1790,4,0.000000,216.4061,3.5221,0.262492,true,14.702739,256,16,0,16,f32,false,239084,119400,1.983313,0.970606,16384
noise_cavity,129,split_stream,0.107940,0.115452,1.069592,216.4061,202.6261,0.936323,true,false,true,true,0.056689,1.001214,1.055789,1.090584,1.072718,1.068821,0.115452,false,true,true,0.070931,2097152,2097152,0,0,56.1710,118885,15753.2,0.9615,marching_cubes,1.056689,2097152,2216037,4.1823,4,0.000000,202.6261,3.6073,0.347090,true,13.430741,256,16,0,16,f32,false,239084,119400,1.983313,0.970606,16384
