L^3,M_Linf,422,5.681428e2,false,false,violation_outside_l1,false,true,false,1.298221e9,1.538686e2,18,0.042654,422,false,true,0.014000,5.138122,0.250000000,4.220000e2,3.775e-15,422,false,5.647648e-2,M_L3,true,1.255257e1,4.000000,4.338836e3,1.084709e3,sphere,4,sphere|17|L^3,96,96,1.148416e0,inf,5.311945e1,0,3,1.111074e0,true,17,6.339089e-1,5.631829,21,0.055620,element_exceeds_domain,0,72,72,M_L1
L^inf,M_L1,422,3.038487e2,false,false,violation_outside_l1,false,true,false,1.298221e9,1.538686e2,18,0.042654,422,false,true,0.014000,5.138122,0.250000000,4.220000e2,1.776e-15,422,false,7.975686e-2,M_Linf,true,1.255257e1,4.000000,8.112633e2,2.028158e2,sphere,4,sphere|17|L^inf,96,96,4.353612e0,1,2.673104e1,0,inf,1.110569e0,true,17,6.107113e-1,5.353612,21,1.000000,element_exceeds_domain,0,72,72,M_L1
L^inf,M_L2,422,4.894126e2,false,false,violation_outside_l1,false,true,false,1.298221e9,1.538686e2,18,0.042654,422,false,true,0.014000,5.138122,0.250000000,4.220000e2,4.441e-16,422,false,7.185351e-2,M_Linf,true,1.255257e1,4.000000,1.306100e3,3.265251e2,sphere,4,sphere|17|L^inf,96,96,4.353612e0,2,3.271282e1,0,inf,1.106961e0,true,17,6.107113e-1,5.353612,21,1.000000,element_exceeds_domain,0,72,72,M_L1
L^inf,M_L3,422,6.384162e2,false,false,violation_outside_l1,false,true,false,1.298221e9,1.538686e2,18,0.042654,422,false,true,0.014000,5.138122,0.250000000,4.220000e2,1.776e-15,422,false,6.794826e-2,M_Linf,true,1.255257e1,4.000000,1.703443e3,4.258608e2,sphere,4,sphere|17|L^inf,96,96,4.353612e0,3,3.652021e1,0,inf,1.105529e0,true,17,6.107113e-1,5.353612,21,1.000000,element_exceeds_domain,0,72,72,M_L1
L^inf,M_Linf,422,1.626688e3,false,false,violation_outside_l1,false,true,false,1.298221e9,1.538686e2,18,0.042654,422,false,true,0.014000,5.138122,0.250000000,4.220000e2,3.775e-15,422,false,5.647648e-2,M_Linf,true,1.255257e1,4.000000,4.338836e3,1.084709e3,sphere,4,sphere|17|L^inf,96,96,4.353612e0,inf,5.311945e1,0,inf,1.111074e0,true,17,6.107113e-1,5.353612,21,1.000000,element_exceeds_domain,0,72,72,M_L1
L^1,M_L1,1706,1.394929e0,true,false,theory_holds,true,true,false,1.137085e9,2.342663e3,18,0.010551,1706,false,true,0.014000,5.138122,0.125000000,1.706000e3,7.327e-15,1706,true,8.455661e-3,M_L1,true,3.164584e0,4.000000,3.625015e2,9.062538e1,sphere,4,sphere|33|L^1,96,96,0.000000e0,1,1.269689e2,0,1,1.161778e0,true,33,5.693544e-1,4.856079,21,0.056939,none,0,72,72,M_L1
L^1,M_L2,1706,2.189138e0,true,false,theory_holds,true,true,false,1.137085e9,2.342663e3,18,0.010551,1706,false,true,0.014000,5.138122,0.125000000,1.706000e3,4.663e-15,1706,true,8.478982e-3,M_L1,true,3.164584e0,4.000000,5.637941e2,1.409485e2,sphere,4,sphere|33|L^1,96,96,0.000000e0,2,1.690385e2,0,1,1.167464e0,true,33,5.693544e-1,4.856079,21,0.056494,none,0,72,72,M_L1
L^1,M_L3,1706,2.812535e0,true,false,theory_holds,true,true,false,1.137085e9,2.342663e3,18,0.010551,1706,false,true,0.014000,5.138122,0.125000000,1.706000e3,5.773e-15,1706,true,8.512576e-3,M_L1,true,3.164584e0,4.000000,7.210264e2,1.802566e2,sphere,4,sphere|33|L^1,96,96,0.000000e0,3,1.979229e2,0,1,1.167046e0,true,33,5.693544e-1,4.856079,21,0.056260,none,0,72,72,M_L1
L^1,M_Linf,1706,6.773886e0,true,false,theory_holds,true,true,false,1.137085e9,2.342663e3,18,0.010551,1706,false,true,0.014000,5.138122,0.125000000,1.706000e3,3.886e-15,1706,true,8.781236e-3,M_L1,true,3.164584e0,4.000000,1.710871e3,4.277177e2,sphere,4,sphere|33|L^1,96,96,0.000000e0,inf,3.416376e2,0,1,1.163892e0,true,33,5.693544e-1,4.856079,21,0.055480,none,0,72,72,M_L1
L^2,M_L1,1706,1.351584e1,false,false,violation_outside_l1,false,true,false,1.137085e9,2.342663e3,18,0.010551,1706,false,true,0.014000,5.138122,0.125000000,1.706000e3,7.327e-15,1706,false,8.594023e-3,M_L2,true,3.164584e0,4.000000,3.625015e2,9.062538e1,sphere,4,sphere|33|L^2,96,96,5.705950e-1,1,1.269689e2,0,2,1.161778e0,true,33,5.705950e-1,4.868278,21,0.058914,element_exceeds_domain,0,72,72,M_L1
L^2,M_L2,1706,2.122791e1,false,false,violation_outside_l1,false,true,false,1.137085e9,2.342663e3,18,0.010551,1706,false,true,0.014000,5.138122,0.125000000,1.706000e3,4.663e-15,1706,false,8.566069e-3,M_L2,true,3.164584e0,4.000000,5.637941e2,1.409485e2,sphere,4,sphere|33|L^2,96,96,5.705950e-1,2,1.690385e2,0,2,1.167464e0,true,33,5.705950e-1,4.868278,21,0.057904,element_exceeds_domain,0,72,72,M_L1
L^2,M_L3,1706,2.728461e1,false,false,violation_outside_l1,false,true,false,1.137085e9,2.342663e3,18,0.010551,1706,false,true,0.014000,5.138122,0.125000000,1.706000e3,5.773e-15,1706,false,8.574803e-3,M_L2,true,3.164584e0,4.000000,7.210264e2,1.802566e2,sphere,4,sphere|33|L^2,96,96,5.705950e-1,3,1.979229e2,0,2,1.167046e0,true,33,5.705950e-1,4.868278,21,0.057378,element_exceeds_domain,0,72,72,M_L1
L^2,M_Linf,1706,6.579886e1,false,false,violation_outside_l1,false,true,false,1.137085e9,2.342663e3,18,0.010551,1706,false,true,0.014000,5.138122,0.125000000,1.706000e3,3.886e-15,1706,false,8.781236e-3,M_L2,true,3.164584e0,4.000000,1.710871e3,4.277177e2,sphere,4,sphere|33|L^2,96,96,5.705950e-1,inf,3.416376e2,0,2,1.163892e0,true,33,5.705950e-1,4.868278,21,0.055653,element_exceeds_domain,0,72,72,M_L1
L^3,M_L1,1706,2.886644e1,false,false,violation_outside_l1,false,true,false,1.137085e9,2.342663e3,18,0.010551,1706,false,true,0.014000,5.138122,0.125000000,1.706000e3,7.327e-15,1706,false,8.700738e-3,M_L3,true,3.164584e0,4.000000,3.625015e2,9.062538e1,sphere,4,sphere|33|L^3,96,96,1.018390e0,1,1.269689e2,0,3,1.161778e0,true,33,5.704146e-1,4.867163,21,0.060627,element_exceeds_domain,0,72,72,M_L1
L^3,M_L2,1706,4.533228e1,false,false,violation_outside_l1,false,true,false,1.137085e9,2.342663e3,18,0.010551,1706,false,true,0.014000,5.138122,0.125000000,1.706000e3,4.663e-15,1706,false,8.629664e-3,M_L3,true,3.164584e0,4.000000,5.637941e2,1.409485e2,sphere,4,sphere|33|L^3,96,96,1.018390e0,2,1.690385e2,0,3,1.167464e0,true,33,5.704146e-1,4.867163,21,0.059096,element_exceeds_domain,0,72,72,M_L1
L^3,M_L3,1706,5.826373e1,false,false,violation_outside_l1,false,true,false,1.137085e9,2.342663e3,18,0.010551,1706,false,true,0.014000,5.138122,0.125000000,1.706000e3,5.773e-15,1706,false,8.619201e-3,M_L3,true,3.164584e0,4.000000,7.210264e2,1.802566e2,sphere,4,sphere|33|L^3,96,96,1.018390e0,3,1.979229e2,0,3,1.167046e0,true,33,5.704146e-1,4.867163,21,0.058299,element_exceeds_domain,0,72,72,M_L1
L^3,M_Linf,1706,1.404977e2,false,false,violation_outside_l1,false,true,false,1.137085e9,2.342663e3,18,0.010551,1706,false,true,0.014000,5.138122,0.125000000,1.706000e3,3.886e-15,1706,false,8.781236e-3,M_L3,true,3.164584e0,4.000000,1.710871e3,4.277177e2,sphere,4,sphere|33|L^3,96,96,1.018390e0,inf,3.416376e2,0,3,1.163892e0,true,33,5.704146e-1,4.867163,21,0.055702,element_exceeds_domain,0,72,72,M_L1
L^inf,M_L1,1706,1.355006e2,false,false,violation_outside_l1,false,true,false,1.137085e9,2.342663e3,18,0.010551,1706,false,true,0.014000,5.138122,0.125000000,1.706000e3,7.327e-15,1706,false,1.125207e-2,M_Linf,true,3.164584e0,4.000000,3.625015e2,9.062538e1,sphere,4,sphere|33|L^inf,96,96,3.731633e0,1,1.269689e2,0,inf,1.161778e0,true,33,5.570803e-1,4.731633,21,1.000000,element_exceeds_domain,0,72,72,M_L1
L^inf,M_L2,1706,2.109853e2,false,false,violation_outside_l1,false,true,false,1.137085e9,2.342663e3,18,0.010551,1706,false,true,0.014000,5.138122,0.125000000,1.706000e3,4.663e-15,1706,false,1.044718e-2,M_Linf,true,3.164584e0,4.000000,5.637941e2,1.409485e2,sphere,4,sphere|33|L^inf,96,96,3.731633e0,2,1.690385e2,0,inf,1.167464e0,true,33,5.570803e-1,4.731633,21,1.000000,element_exceeds_domain,0,72,72,M_L1
L^inf,M_L3,1706,2.699474e2,false,false,violation_outside_l1,false,true,false,1.137085e9,2.342663e3,18,0.010551,1706,false,true,0.014000,5.138122,0.125000000,1.706000e3,5.773e-15,1706,false,1.003760e-2,M_Linf,true,3.164584e0,4.000000,7.210264e2,1.802566e2,sphere,4,sphere|33|L^inf,96,96,3.731633e0,3,1.979229e2,0,inf,1.167046e0,true,33,5.570803e-1,4.731633,21,1.000000,element_exceeds_domain,0,72,72,M_L1
L^inf,M_Linf,1706,6.411390e2,false,false,violation_outside_l1,false,true,false,1.137085e9,2.342663e3,18,0.010551,1706,false,true,0.014000,5.138122,0.125000000,1.706000e3,3.886e-15,1706,false,8.781236e-3,M_Linf,true,3.164584e0,4.000000,1.710871e3,4.277177e2,sphere,4,sphere|33|L^inf,96,96,3.731633e0,inf,3.416376e2,0,inf,1.163892e0,true,33,5.570803e-1,4.731633,21,1.000000,element_exceeds_domain,0,72,72,M_L1
L^1,M_L1,6482,1.716808e-1,true,false,theory_holds,true,true,false,1.065484e9,3.742070e4,18,0.002777,6482,false,true,0.014000,5.138122,0.062500000,6.482000e3,9.992e-16,6482,true,1.340331e-3,M_L1,true,1.295172e0,4.000000,1.633261e2,4.083152e1,sphere,4,sphere|65|L^1,96,96,0.000000e0,1,6.094072e2,0,1,1.203299e0,true,65,5.073402e-1,4.192782,21,0.054616,none,0,72,72,M_L1
L^1,M_L2,6482,2.587813e-1,true,false,theory_holds,true,true,false,1.065484e9,3.742070e4,18,0.002777,6482,false,true,0.014000,5.138122,0.062500000,6.482000e3,4.219e-15,6482,true,1.343609e-3,M_L1,true,1.295172e0,4.000000,2.449769e2,6.124422e1,sphere,4,sphere|65|L^1,96,96,0.000000e0,2,8.788325e2,0,1,1.204787e0,true,65,5.073402e-1,4.192782,21,0.054487,none,0,72,72,M_L1
L^1,M_L3,6482,3.248092e-1,true,false,theory_holds,true,true,false,1.065484e9,3.742070e4,18,0.002777,6482,false,true,0.014000,5.138122,0.062500000,6.482000e3,2.220e-16,6482,true,1.348254e-3,M_L1,true,1.295172e0,4.000000,3.070357e2,7.675893e1,sphere,4,sphere|65|L^1,96,96,0.000000e0,3,1.075830e3,0,1,1.206033e0,true,65,5.073402e-1,4.192782,21,0.054464,none,0,72,72,M_L1
L^1,M_Linf,6482,7.198200e-1,true,false,theory_holds,true,true,false,1.065484e9,3.742070e4,18,0.002777,6482,false,true,0.014000,5.138122,0.062500000,6.482000e3,9.659e-15,6482,true,1.381641e-3,M_L1,true,1.295172e0,4.000000,6.786360e2,1.696590e2,sphere,4,sphere|65|L^1,96,96,0.000000e0,inf,2.171332e3,0,1,1.209019e0,true,65,5.073402e-1,4.192782,21,0.054442,none,0,72,72,M_L1
L^2,M_L1,6482,3.135539e0,false,false,violation_outside_l1,false,true,false,1.065484e9,3.742070e4,18,0.002777,6482,false,true,0.014000,5.138122,0.062500000,6.482000e3,9.992e-16,6482,false,1.357573e-3,M_L2,true,1.295172e0,4.000000,1.633261e2,4.083152e1,sphere,4,sphere|65|L^2,96,96,5.136160e-1,1,6.094072e2,0,2,1.203299e0,true,65,5.136160e-1,4.260417,21,0.057965,element_exceeds_domain,0,72,72,M_L1
L^2,M_L2,6482,4.746002e0,false,false,violation_outside_l1,false,true,false,1.065484e9,3.742070e4,18,0.002777,6482,false,true,0.014000,5.138122,0.062500000,6.482000e3,4.219e-15,6482,false,1.353523e-3,M_L2,true,1.295172e0,4.000000,2.449769e2,6.124422e1,sphere,4,sphere|65|L^2,96,96,5.136160e-1,2,8.788325e2,0,2,1.204787e0,true,65,5.136160e-1,4.260417,21,0.057214,element_exceeds_domain,0,72,72,M_L1
L^2,M_L3,6482,5.973338e0,false,false,violation_outside_l1,false,true,false,1.065484e9,3.742070e4,18,0.002777,6482,false,true,0.014000,5.138122,0.062500000,6.482000e3,2.220e-16,6482,false,1.354794e-3,M_L2,true,1.295172e0,4.000000,3.070357e2,7.675893e1,sphere,4,sphere|65|L^2,96,96,5.136160e-1,3,1.075830e3,0,2,1.206033e0,true,65,5.136160e-1,4.260417,21,0.056853,element_exceeds_domain,0,72,72,M_L1
L^2,M_Linf,6482,1.335871e1,false,false,violation_outside_l1,false,true,false,1.065484e9,3.742070e4,18,0.002777,6482,false,true,0.014000,5.138122,0.062500000,6.482000e3,9.659e-15,6482,false,1.381641e-3,M_L2,true,1.295172e0,4.000000,6.786360e2,1.696590e2,sphere,4,sphere|65|L^2,96,96,5.136160e-1,inf,2.171332e3,0,2,1.209019e0,true,65,5.136160e-1,4.260417,21,0.055782,element_exceeds_domain,0,72,72,M_L1
L^3,M_L1,6482,8.362352e0,false,false,violation_outside_l1,false,true,false,1.065484e9,3.742070e4,18,0.002777,6482,false,true,0.014000,5.138122,0.062500000,6.482000e3,9.992e-16,6482,false,1.371802e-3,M_L3,true,1.295172e0,4.000000,1.633261e2,4.083152e1,sphere,4,sphere|65|L^3,96,96,9.051019e-1,1,6.094072e2,0,3,1.203299e0,true,65,5.136428e-1,4.260751,21,0.059232,element_exceeds_domain,0,72,72,M_L1
L^3,M_L2,6482,1.265761e1,false,false,violation_outside_l1,false,true,false,1.065484e9,3.742070e4,18,0.002777,6482,false,true,0.014000,5.138122,0.062500000,6.482000e3,4.219e-15,6482,false,1.361773e-3,M_L3,true,1.295172e0,4.000000,2.449769e2,6.124422e1,sphere,4,sphere|65|L^3,96,96,9.051019e-1,2,8.788325e2,0,3,1.204787e0,true,65,5.136428e-1,4.260751,21,0.058082,element_exceeds_domain,0,72,72,M_L1
L^3,M_L3,6482,1.593113e1,false,false,violation_outside_l1,false,true,false,1.065484e9,3.742070e4,18,0.002777,6482,false,true,0.014000,5.138122,0.062500000,6.482000e3,2.220e-16,6482,false,1.360272e-3,M_L3,true,1.295172e0,4.000000,3.070357e2,7.675893e1,sphere,4,sphere|65|L^3,96,96,9.051019e-1,3,1.075830e3,0,3,1.206033e0,true,65,5.136428e-1,4.260751,21,0.057530,element_exceeds_domain,0,72,72,M_L1
L^3,M_Linf,6482,3.562990e1,false,false,violation_outside_l1,false,true,false,1.065484e9,3.742070e4,18,0.002777,6482,false,true,0.014000,5.138122,0.062500000,6.482000e3,9.659e-15,6482,false,1.381641e-3,M_L3,true,1.295172e0,4.000000,6.786360e2,1.696590e2,sphere,4,sphere|65|L^3,96,96,9.051019e-1,inf,2.171332e3,0,3,1.209019e0,true,65,5.136428e-1,4.260751,21,0.055905,element_exceeds_domain,0,72,72,M_L1
L^inf,M_L1,6482,6.077854e1,false,false,violation_outside_l1,false,true,false,1.065484e9,3.742070e4,18,0.002777,6482,false,true,0.014000,5.138122,0.062500000,6.482000e3,9.992e-16,6482,false,1.722945e-3,M_Linf,true,1.295172e0,4.000000,1.633261e2,4.083152e1,sphere,4,sphere|65|L^inf,96,96,3.179432e0,1,6.094072e2,0,inf,1.203299e0,true,65,5.037805e-1,4.179432,21,1.000000,element_exceeds_domain,0,72,72,M_L1
L^inf,M_L2,6482,9.139758e1,false,false,violation_outside_l1,false,true,false,1.065484e9,3.742070e4,18,0.002777,6482,false,true,0.014000,5.138122,0.062500000,6.482000e3,4.219e-15,6482,false,1.612657e-3,M_Linf,true,1.295172e0,4.000000,2.449769e2,6.124422e1,sphere,4,sphere|65|L^inf,96,96,3.179432e0,2,8.788325e2,0,inf,1.204787e0,true,65,5.037805e-1,4.179432,21,1.000000,element_exceeds_domain,0,72,72,M_L1
L^inf,M_L3,6482,1.146696e2,false,false,violation_outside_l1,false,true,false,1.065484e9,3.742070e4,18,0.002777,6482,false,true,0.014000,5.138122,0.062500000,6.482000e3,2.220e-16,6482,false,1.556239e-3,M_Linf,true,1.295172e0,4.000000,3.070357e2,7.675893e1,sphere,4,sphere|65|L^inf,96,96,3.179432e0,3,1.075830e3,0,inf,1.206033e0,true,65,5.037805e-1,4.179432,21,1.000000,element_exceeds_domain,0,72,72,M_L1
L^inf,M_Linf,6482,2.540198e2,false,false,violation_outside_l1,false,true,false,1.065484e9,3.742070e4,18,0.002777,6482,false,true,0.014000,5.138122,0.062500000,6.482000e3,9.659e-15,6482,false,1.381641e-3,M_Linf,true,1.295172e0,4.000000,6.786360e2,1.696590e2,sphere,4,sphere|65|L^inf,96,96,3.179432e0,inf,2.171332e3,0,inf,1.209019e0,true,65,5.037805e-1,4.179432,21,1.000000,element_exceeds_domain,0,72,72,M_L1
L^1,M_L1,372,2.724814e1,true,false,theory_holds,true,true,false,3.313708e9,2.080190e3,32,0.086022,372,false,true,0.014000,5.138122,0.250000000,3.720000e2,4.441e-16,372,true,1.047905e-1,M_L1,true,3.561685e1,4.000000,1.025110e3,2.562775e2,torus,4,torus|17|L^1,96,96,0.000000e0,1,2.019258e1,0,1,1.076818e0,true,17,7.965800e-1,8.221252,21,0.037838,none,0,72,72,M_L1
L^1,M_L2,372,4.895346e1,true,false,theory_holds,true,true,false,3.313708e9,2.080190e3,32,0.086022,372,false,true,0.014000,5.138122,0.250000000,3.720000e2,8.882e-16,372,true,1.071357e-1,M_L1,true,3.561685e1,4.000000,1.747025e3,4.367562e2,torus,4,torus|17|L^1,96,96,0.000000e0,2,2.090311e1,0,1,1.064938e0,true,17,7.965800e-1,8.221252,21,0.035927,none,0,72,72,M_L1
L^1,M_L3,372,6.817917e1,true,false,theory_holds,true,true,false,3.313708e9,2.080190e3,32,0.086022,372,false,true,0.014000,5.138122,0.250000000,3.720000e2,1.110e-15,372,true,1.106200e-1,M_L1,true,3.561685e1,4.000000,2.360737e3,5.901843e2,torus,4,torus|17|L^1,96,96,0.000000e0,3,2.110142e1,0,1,1.053978e0,true,17,7.965800e-1,8.221252,21,0.034870,none,0,72,72,M_L1
L^1,M_Linf,372,2.240138e2,true,false,theory_holds,true,true,false,3.313708e9,2.080190e3,32,0.086022,372,false,true,0.014000,5.138122,0.250000000,3.720000e2,6.661e-16,372,true,1.445179e-1,M_L1,true,3.561685e1,4.000000,6.940651e3,1.735163e3,torus,4,torus|17|L^1,96,96,0.000000e0,inf,2.075867e1,0,1,9.005019e-1,true,17,7.965800e-1,8.221252,21,0.031232,none,0,72,72,M_L1
L^2,M_L1,372,9.385321e1,false,false,violation_outside_l1,false,true,false,3.313708e9,2.080190e3,32,0.086022,372,false,true,0.014000,5.138122,0.250000000,3.720000e2,4.441e-16,372,false,1.204991e-1,M_L2,true,3.561685e1,4.000000,1.025110e3,2.562775e2,torus,4,torus|17|L^2,96,96,7.867421e-1,1,2.019258e1,0,2,1.076818e0,true,17,7.867421e-1,8.130925,21,0.044893,element_exceeds_domain,0,72,72,M_L1
L^2,M_L2,372,1.676915e2,false,false,violation_outside_l1,false,true,false,3.313708e9,2.080190e3,32,0.086022,372,false,true,0.014000,5.138122,0.250000000,3.720000e2,8.882e-16,372,false,1.174471e-1,M_L2,true,3.561685e1,4.000000,1.747025e3,4.367562e2,torus,4,torus|17|L^2,96,96,7.867421e-1,2,2.090311e1,0,2,1.064938e0,true,17,7.867421e-1,8.130925,21,0.040920,element_exceeds_domain,0,72,72,M_L1
L^2,M_L3,372,2.330083e2,false,false,violation_outside_l1,false,true,false,3.313708e9,2.080190e3,32,0.086022,372,false,true,0.014000,5.138122,0.250000000,3.720000e2,1.110e-15,372,false,1.183929e-1,M_L2,true,3.561685e1,4.000000,2.360737e3,5.901843e2,torus,4,torus|17|L^2,96,96,7.867421e-1,3,2.110142e1,0,2,1.053978e0,true,17,7.867421e-1,8.130925,21,0.038727,element_exceeds_domain,0,72,72,M_L1
L^2,M_Linf,372,7.631134e2,false,false,violation_outside_l1,false,true,false,3.313708e9,2.080190e3,32,0.086022,372,false,true,0.014000,5.138122,0.250000000,3.720000e2,6.661e-16,372,false,1.445179e-1,M_L2,true,3.561685e1,4.000000,6.940651e3,1.735163e3,torus,4,torus|17|L^2,96,96,7.867421e-1,inf,2.075867e1,0,2,9.005019e-1,true,17,7.867421e-1,8.130925,21,0.031268,element_exceeds_domain,0,72,72,M_L1
